Abbreviation/Shorthand,Meaning,More Info
OPC,outer pillar cell,
OPC,oropharyngeal cancer,
OPLL,ossification of the posterior longitudinal ligament,
OPTN,Organ Procurement and Transplantation Network,
OPUS,Oral Passage Understanding Scale,
OR,operating room,
ORF,open reading frame,
ORIF,open reduction internal fixation,
OS,left eye,
OS,overall survival,
OSA,obstructive sleep apnea,
OSAS,Obstructive Sleep Apnea Syndrome,
OSCC,oropharyngeal squamous cell carcinoma,
OSH,outside hospital,
OSR,Open Surgical Repair,
OT,occupational therapy,
OTC,over-the-counter,
OTO,Outer to Outer,
OTW,over-the-wire,
OU,both eyes,
OV,office visit,
OVB,oral viscous budesonide,
OW,overweight,
P,pulse,
P&A,percussion & auscultation,
PA,periapical,
PAC,premature atrial complexes,
PACU,post anesthesia care unit,
PAD,peripheral arterial disease,
PAH,pulmonary arterial hypertension,
PAH,predicted adult height,
PAM,protospacer adjacent motif,
PAMG-1,placental alpha microglobulin-1,
PANDAS,Pediatric Autoimmune Neuropsychiatric Disorders Associated with Streptococcal Infections,
PANS,Pediatric Acute-onset Neuropsychiatric Syndrome,
PAOD,Peripheral Arterial Occlusive Disease,
PAP,positive airway pressure,
PAPR,Powered Air Purifying Respirator,
PARDS,pediatric acute respiratory distress syndrome,
PAS,personal assistance service(s),
PAU,Penetrating Aortic Ulcer,
PAWP,pulmonary arterial wedge pressure,
PAWS,post-acute-withdrawal syndrome,
PBC,primary biliary cholangitis,
pBNP,NT-Pro B-Type Natriuretic Peptide,
PBP,penicillin-binding protein,
PBRT,proton beam radiation therapy,
PBS,pencil-beam scanning,https://en.wikipedia.org/wiki/Pencil-beam_scanning
PBS,phosphate-buffered saline,
PBT,perioperative blood transfusion,
PBT,proton beam therapy,
PCA,patient controlled analgesia,
PCA,personal care aide,
PCA,Posterior Carotid Artery,
PCa,prostate cancer,
PCCM,Pediatric Critical Care Medicine,
PCD,pneumatic compression device,
PCDAI,Pediatric Crohn's Disease Activity Index,
PCI,percutaneous coronary intervention,
PCKD,polycystic kidney disease,
PCL,posterior cruciate ligament,
PCNL,Percutaneous Nephrolithotomy,
PCNSL,primary central nervous system lymphoma,
pCO2,partial pressure of carbon dioxide,
PCOS,polycystic ovarian syndrome,
PCP,pneumocystis pneumonia,
PCP,primary care provider,
PCR,polymerase chain reaction,
PCR,pharyngeal constriction ratio,
PCSK9,proprotein convertase subtilisin kexin 9,
PCT,procalcitonin,
PCU,progressive care unit,
PD,postural drainage,
PD,Parkinson's disease,
PD,Peritoneal Dialysis,
PD,pneumatic dilation,
PD,progressive disease,
PDE4,phosphodiesterase 4,
PDN,private duty nursing,
PDT,Photodynamic Therapy,https://www.cancer.gov/about-cancer/treatment/types/surgery/photodynamic-fact-sheet
PE,physical examination,
PE,pulmonary embolism,
PE,Pressure Equalizer,
PEA,pulseless electrical activity,
PEEK,polyaryletherketone,
PEEP,positive end expiratory pressure,
PEF,peak expiratory flow,
PEFR,peak expiratory flow rate,
PEG,percutaneous endoscopic gastrostomy,
PEG,polyethylene-glycol,
PEMS,Poult Enteritis and Mortality Syndrome,
PEP,positive expiratory pressure,
PERRL,pupils equal round and reactive to light,
PERRLA,"pupils equal, round, and reactive to light and accommodation",
PERS,personal emergency response system,
PET,positron emission tomography,
PEth,phosphatidylethanol,
PF,peak flow,
PFD,pediatric feeding disorder,
PFG,patient focus group,
PFH,plasma-free hemoglobin,
PFO,patent foramen ovale,
PFPT,pelvic floor physical therapy,
PFS,progression-free survival,
PFT,pulmonary function test,
PFU,plaque-forming unit,
PGD,preimplantation genetic diagnosis,
PGS,preimplantation genetic screening,
PGT,Preimplantation Genetic Testing,
PGT-A,Preimplantation Genetic Testing for Aneuploidy,
PHEIC,Public Health Emergency of International Concern,
PHI,Prostate Health Index,
PHMM,posterior horn of the medial meniscus,
PHP,partial hospitalization program,
PHQ,patient health questionnaire,
PHV,percutaneously implanted heart valve,
Pi,inorganic phosphate,
PI,pneumatosis intestinalis,
PiB-PET,Pittsburgh compound B-positron emission tomography ,
PICC,peripherally inserted central catheter,
PICO,"population, intervention, comparator, and outcomes",
PICU,pediatric intensive care unit,
PID,primary immunodeficiency,
PID,pelvic inflammatory disease,
PIDD,primary immunodeficiency disease,
PIP,penile improvement protocol,
PIVENS,Pioglitazone versus Vitamin E versus Placebo for the Treatment of Non-diabetic patients with Nonalcoholic steatohepatitis,
pJIA,polyarticular Juvenile Idiopathic Arthritis,
PK,pharmacokinetic,
PKD,polycystic kidney disease,
PKR,Partial Knee Replacement,
PKU,phenylketonuria,
PLEX,plasma exchange,
PLIF,Posterior Lumbar Interbody Fusion,
PLP,pyridoxal phosphate,
PLS-5,"Preschool Language Scale, Fifth edition",
PLT,platelets,
PMA,pilomyxoid astrocytoma,
PMAT,plasma membrane monoamine transporter,
PMC,polymer-matrix composites,
PMDB,Prescription Monitoring Database,
PMH,past medical history,
PMI,point of maximum impulse (of the heart),
PMN,Polymorphonuclear Leukocyte,
PMP,pyridoxamine phosphate,
PNA,pneumonia,
PND,postnasal drainage,
PNET,primitive neuroectodermal tumor,
PNH,Paroxysmal Nocturnal Hemoglobinuria,
PO,by mouth/oral,
PO2,partial pressure of oxygen,
POAG,primary open-angle glaucoma,
POD,postoperative day,
POEM,Per-Oral Endoscopic Myotomy ,
pPCI,primary percutaneous coronary intervention,
PPD,purified protein derivative,
PPE,personal protective equipment,
PPH,Procedure for Prolapsed Hemorrhoids,
PPI,protein-protein interaction,
PPI,proton pump inhibitor,
PpIX,protoporphyrin IX,
PPM,permanent pacemaker,
PPROM,preterm premature rupture of membranes,
PPS,posterior probability of superiority,
PPV,positive predictive value,
PR,progesterone receptor,
PR,platelet reactivity,
PRBC,packed red blood cells,
PRCoV,porcine respiratory coronavirus,
PRI,Patient Review Instrument,
PRISMA,Preferred Reporting Items for Systematic Reviews and Meta-Analyses,
PRN,as needed,
PROM,premature rupture of membranes,
PRV,planning at-risk volume,
PS,pressure support,
PS,Parkinsonian syndromes,
PSA,prostate specific antigen,
PsA,psoriatic arthritis,
PSC,primary sclerosing cholangitis,
PSG,polysomnogram,
PSH,past surgical history,
PSI,pneumonia severity index,
PSM,positive surgical margins,
PSP,progressive supranuclear palsy,
PSPT,passive scattering proton therapy,
PSV,pressure support ventilation,
PSW,penoscrotal webbing,
Pt,patient,
PT,physical therapy,
PT,prothrombin time,
PTA,pure-tone average,
PTA,Percutaneous Transluminal Angioplasty,
PTA,peritonsillar abscess,
PTA,prior to admission,
PTCA,Percutaneous Transluminal Coronary Angioplasty,
PTE,pulmonary thromboembolism,
PTEN,phosphatase and tensin homolog,
PTFE,polytetrafluoroethylene,
PTH,parathyroid hormone,
PTP,protein tyrosine phosphatase,
PTS,Parsonage-Turner syndrome,
PTSD,post traumatic stress disorder,
PTT,partial thromboplastin time,
PTV,planning target volume,
PUD,peptic ulcer disease,
PUP,previously untreated patient,
PUVA,psoralen and ultraviolet A,
PV,pulmonary vein,
PV,pressure-volume,
PVC,premature ventricular contraction,
PVD,peripheral vascular disease,
PVI,pulmonary vein isolation,
PVP-I,povidone-iodine,
PVR,pulse volume recording,
PVS,pulmonary vein stenosis,
PW,posterior wall,
PWS,Prader-Willi syndrome,
Q4H,every four hours,
Q8H,every eight hours,
QALY,Quality Adjusted Life Years,
QAM,every morning,
QD,every day/daily,
QH,every hour/hourly,
QHP,Qualified Healthcare Professional,
QHS,every night/nightly,
QID,four times per day,
QN,every night/nightly,
QOD,every other day,
QoL,quality of life,
qPCR,quantitative polymerase chain reaction,
QXH,every X hours,
R,right,
R/O,rule out,
R0,reproduction number,
RA,rheumatoid arthritis,
RA,right atrium,
RA,room air,
RA,rotational atherectomy,
rAAA,Ruptured Abdominal Aortic Aneurysm,
RAC,recovery audit contractor,
RAS,resistance-associated substitution,
RasGEF,Ras guanine nucleotide exchange factor,
RBAS,radiosurgery-based AVM score,
RBBB,right bundle branch block,
RBC,red blood cells,
RBC,red blood count,
RC,radical cystectomy,
RCA,right coronary artery,
RCC,renal cell carcinoma,
RCG,radiocardiography,
RCM,reflectance confocal microcopy,
RCM,reflectance confocal microscopy,
RCT,randomized controlled trial,
RCT,rotator cuff tear,
RD,retinal detachment,
RDF,roof-dependent flutter,
RDI,respiratory disturbance index,
RDS,respiratory distress syndrome,
RDV,remdesivir,
REM,rapid eye movement,
RERA,respiratory-effort related arousal,
RETU,Rapid Evaluation and Treatment Unit,
RF,risk factor,
RFA,radiofrequency ablation,
RFA,right femoral artery,
RFFP,radial forearm flap phalloplasty,
RFP,red fluorescent protein,
RFS,Reflux Finding Score,
RFS,recurrence-free survival,
RFT,renal function test,
RFVTA,radiofrequency volumetric thermal ablation,
Rh,rhesus factor,
rhGH,recombinant human growth hormone,
RIC,radiation-induced change,
RIMA,right internal mammary artery,
RIPC,remote ischaemic preconditioning,
RIS,reflux injury score,
RITLS,Rossetti Infant-Toddler Language Scale,
RLE,right lower extremity,
RLL,right lower lobe,
RLQ,right lower quadrant,
RML,right middle lobe,
RMS,relapsing multiple sclerosis,
RNA,ribonucleic acid,
RNFL,retinal nerve fiber layer,
RNP,ribonucleoprotein,
ROC,receiver operating characteristic,
ROM,range of motion,
ROM,rupture of membranes,
ROS,review of systems,
ROSC,return of spontaneous circulation,
RP,radiation pneumonitis,
RP PCR,respiratory polymerase chain reaction,
RPE,retinal pigment epithelium,
RPG,Retrograde Pyelogram,
RPL,recurrent pregnancy loss,
RPLV,right posterolateral ventricular branch,
RPR,rapid plasma regain,
RPT,Rifapentine,
RR,respiratory rate,
RR,relative risk,
RRR,regular rate and rhythm,
RRT,renal replacement therapy,
rRT-PCR,real-time reverse transcriptase polymerase chain reaction,
RSD,reflex sympathetic dystrophy,
RST,renal support therapy,
RSV,respiratory syncytial virus,
RT,radiation therapy,
RT,respiration therapy,
RT-PCR,reverse transcription polymerase chain reaction,
RTK,receptor tyrosine kinase,
rTMS,repetitive transcranial magnetic stimulation,
RTOG,Radiation Therapy Oncology Group,
RUE,right upper extremity,
RUL,right upper lobe,
RUQ,right upper quadrant,
rUTI,recurrent urinary tract infection,
RV,right ventricle,
RVFWS,RV free wall longitudinal systolic strain,
RVP,respiratory viral panel,
RVR,rapid ventricular response,
S/P,status post,
SAAG,serum-ascites albumin gradient,
SAB,spontaneous abortion,
SABR,spontaneous abortion rate,
SACH,"solid ankle, cushioned heel",
SAD,seasonal affective disorder,
SAE,serious adverse event,
SAEF,Secondary Aortoenteric Fistula,
SALT,Severity of Alopecia Tool,
SAMe,S-adenosylmethionine,
SARI,Severe Acute Respiratory Infections,
SARS,severe acute respiratory syndrome,
SARS-CoV,severe acute respiratory syndrome coronavirus,
SARS-CoV-2,Severe Acute Respiratory Syndrome Coronavirus-2 Virus,
sat,saturation,
SAVR,surgical aortic valve replacement,
SB,small bowel,
SBFT,small bowel follow through,
SBO,small bowel obstruction,
SBP,spontaneous bacterial peritonitis,
SBP,systolic blood pressure,
SBRT,Stereotactic Body Radiation Therapy,
SC,subcutaneous,
SC,Sydenham chorea,
SCA,superior cerebellar artery,
SCC,squamous cell carcinoma,
SCD,sudden cardiac death,
SCEP,spinal cord evoked potentials,
SCI,spinal cord injury,
SCIg,subcutaneous immunoglobulin,
SCS,spinal cord stimulator,
SCT,stem cell transplantation,
SD,standard deviation,
SDB,sleep disordered breathing,
SDH,subdural hematoma,
SDS,standard deviation score,
SEC,spontaneous echo contrast,
SEC,squamous epithelial cell,
SECD,Swine Enteric Coronavirus Disease,
sEMG,surface electromyography,
SEP,somatosensory evoked potential,
SERM,selective-estrogen receptor modulator,
SES-CD,Simple Endoscopic Score for Crohn Disease,
SFA,superficial femoral artery,
SG,sleeve gastrectomy,
SGLT-2,sodium-glucose cotransporter-2,
SGOT,serum glutamic oxaloacetic transaminase,
SGPT,serum glutamic pyruvic transaminase,
SHBG,Sex Hormone Binding Globulin,
SI,sacroiliac,
SI,suicidal ideation,
SIBO,small intestinal bacterial overgrowth,
SIDS,sudden infant death syndrome,
SIJ,sacroiliac joint,
SIMV,synchronized intermittent mandatory ventilation,
siRNA,small interfering RNA,
SIRS,Systemic Inflammatory Response Syndrome,
SIRT,selective internal radiation therapy,
SL,stool lactoferrin,
SL,sublingual,
SLE,systemic lupus erythematosus,
SLNB,sentinel lymph node biopsy,
SLP,speech and language pathology,
SLRT,Straight Leg Raising Test,
SM,self massage,
SM grade,Spetzler-Martin grade,
SMA,smooth muscle antibody,
SMA,spinal muscular atrophy,
SMA,Superior Mesenteric Artery,
SMART,Self-Management and Recovery Training,
SMART,Sepsis Management Alert Response Team,
SMBG,Self-Monitoring of Blood Glucose,
SMILE,submucosal minimally invasive lingual excision,
SMX-TMP,sulfamethoxazole-trimethoprim,
SNC1,serum nadir creatinine level in the first year of life,
SND,sinus node dysfunction,
SNF,skilled nursing facility,
SNHL,sensorineural hearing loss,
SNP,Single Nucleotide Polymorphism,
SNRI,serotonin-norepinephrine reuptake inhibitor,
SNV,single nucleotide variant,
SOAP,"subjective, objective, assessment, plan",
SOB,shortness of breath,
SOCS,suppressors of cytokine signaling,
SOD,sinus ostial dilation,
SOS,Son of Sevenless,
SOT,solid organ transplant,
SPCCT,spectral photon-counting CT,
SPECT,single photon emission computed tomography,
SpO2,pulse oximetry,
SQ,subcutaneous,
SR,survival rate,
SR,sinus rhythm,
SRAAA,Suprarenal Abdominal Aortic Aneurysm,
SRBD,sleep related breathing disorders,
SROM,spontaneous rupture of membranes,
SRP,signal recognition peptide,
SRS,stereotactic radiosurgery,
SSD,splice-site disruptions,
SSED,summary of safety and effectiveness data,
SSEP,spinal somatosensory evoked potential,
SSI,supplemental security income,
SSI,surgical site infection,
SSIS,Social Skills Improvement System,
SSNHL,sudden sensorineural hearing loss,
SSPT,spot-scanning proton therapy,
SSR,showed sinus rhythm,
SSRI,selective serotonin reuptake inhibitor,
SSTI,skin and soft tissue infection,
SSZ,sulfasalazine,
ST,stent thrombosis,
STAT,signal transducer and activator of transcription,
STEMI,ST elevation myocardial infarction,
STOPAH,Steroids or Pentoxifylline for Alcoholic Hepatitis,
STRN,Soft tissue radionecrosis,
STS,soft tissue sarcoma,
STS,Society of Thoracic Surgeons,
STSG,Split Thickness Skin Graft,
SUD,substance use disorder,
SUVmax,Maximum Standard Uptake Value,
SVC,superior vena cava,
SVD,small-vessel disease,
SVD,single vessel disease,
SVD,spontaneous vaginal delivery,
SVG,saphenous vein graft,
SVR,sustained virologic response,
SVT,supraventricular tachycardia,
SW,social work,
SW,stab wound,
SWI,Susceptibility Weighted Imaging,
SWS,Sturge–Weber syndrome,
Sx,symptoms,
T,temperature,
T Bili,total bilirubin,
t-EMG,triggered EMG,
t-MeHa,tele‐methylhistamine,
T-PLL,T-Cell Prolymphocytic Leukemia,
T&A,tonsillectomy and adenoidectomy,
T1DM,type 1 Diabetes Mellitus,
T2DM,type 2 Diabetes Mellitus,
T3,Triiodothyronine,
T4,Thyroxine,
TA,tibialis anterior,
TAAA,Thoracoabdominal Aortic Aneurysm,
TAH,total abdominal hysterectomy,
TALEN,transcription activator-like effector nuclease,
TAVI,transcatheter aortic valve implantation,
TAVR,transcatheter aortic valve replacement,
TB,tuberculosis,
TB,temporal bone,
TBI,traumatic brain injury,
TBS,tris buffered saline,
TCA,tricyclic antidepressant,
TCAR,transcarotid artery revascularization,
TCC,Transitional Cell Carcinoma,
TCR,T cell receptor,
TCS,template consensus sequence,
Tdap,"tetanus, diptheria, and tetanus",
TEE,transesophageal echocardiogram,
TEM,Effector memory T,
TEM,Transanal Endoscopic Microsurgery,
TENS,transcutaneous electrical nerve stimulation,
TEP,tumor educated platelet,
TF,tissue factor,
TFA,transcervical fibroid ablation,
TFCAS,transfemoral carotid artery stenting,
TFI,transfemoral intervention,
TFNE,transient focal neurological episode,
TG,triglycerides,
TGEV,transmissible gastroenteritis virus,
TGI,tracheal gas insufflation,
THA,total hip arthroplasty,
THC,tetrahydrocannabinol,
THR,total hip replacement,
TIA,transient ischemic attack,
TIBC,total iron-binding capacity,
TID,three times per day,
TIMI,thrombolysis in myocardial infarction,
TIPS,transjugular intrahepatic portosystemic shunt,
TIV,tumor in vein,
TKA,total knee arthroplasty,
TKI,Tyrosine Kinase Inhibitor,
TKO,to keep open,
TKR,total knee replacement,
TLH,total laparoscopic hysterectomy,
TLIF,Transforaminal Lumbar Interbody Fusion,
TLR,Toll‐like receptors,
TM,tectorial membrane,
TM,tympanic membrane (eardrum),
TMA,transmetatarsal amputation,
tMax,temperature maximum,
TMB,tumor mutational burden,
TMJ,temporomandibular joint,
TMN,tuberomammillary nucleus,
TMP-SMX,trimethoprim-sulfamethoxazole,
TMR,Transmyocardial Revascularization,
TMS,transcranial magnetic stimulation,
TN,true negative,
TNE,transnasal esophagoscopy,
TNF,tumor necrosis factor,
TNF-α,tumor necrosis factor alpha,
TNFi,tumor necrosis factor inhibitor,
TNM,Tumor-Node-Metastasis,
TNTC,too numerous to count,
TOF,tetralogy of fallot,
TONIC,treatment of nonalcoholic fatty liver disease in children,
TORCH,"Toxoplasmosis, Other (syphilis, varicella-zoster, parvovirus B19), Rubella, Cytomegalovirus (CMV), and Herpes",
TP,total protein,
TP,true positive,
tPA,tissue plasminogen activator,
TPA,total parenteral alimentation,
TPE,therapeutic plasma exchange,
TPN,Total Parenteral Nutrition,
TPO,thrombopoietin,
TPR,"temperature, pulse, respiration",
tPSA,total prostate specific antigen,
TRALI,transfusion-related acute lung injury,
TRD,tongue retaining device,
TRI,trans-radial intervention,
TRM,resident memory T,
TRM,tissue-resident memory,
TRP,treatment-related pneumonitis,
TRP,transient receptor potential,
TRS,transcription regulatory sequence,
TRUS,Transrectal Ultrasound,
TSH,thyroid stimulating hormone,
TSS,therapeutic staff support,
TSS-NS,therapeutic staff support non-school,
TSS-S,therapeutic staff support in school,
tSSS,transformed Symptom Severity Score,
TTE,Transthoracic Echocardiogram,
TTF,tumor treating fields,
TTP,tender to palpitation,
TTP,Thrombotic Thrombocytopenic Purpura,
TTP,tissue tolerable plasmas,
TTS,temporary threshold shift,
TTS,through-the-scope,
TURBT,Transurethral Resection of Bladder Tumor,
TURP,Transurethral resection of prostate gland,
TVC,true vocal cord,
TVF,target vessel failure,
TVP,transvenous pacemaker,
TVR,Tricuspid Valve Replacement,
TVUS,Transvaginal Ultrasound,
TVV,Tricuspid Valve Valvuloplasty,
Tx,treatment,
TZD,Thiazolidinediones,
UA,urinalysis,
UAE,uterine artery embolization,
UAS,Uniform Assessment System,
UAS,upper airway stimulation,
UC,ulcerative colitis,
UCx,urine culture,
UDCA,Ursodeoxycholic Acid,
UDS,urine drug screen,
UE,unplanned extubation,
UF,ultrafiltration,
UFE,uterine fibroid embolization,
UGI,upper gastrointestinal,
ULN,upper limits of normal,
UM,uveal melanoma,
UNE,ulnar neuropathy at the elbow,
UNOS,United Network for Organ Sharing,
UO,urinary output,
UPD,uniparental disomy,
upE,region upstream of the E gene,
UPF,uvulopalatal flap,
UPJ,Ureteropelvic Junction,
UPPP,uvulopalatopharyngoplasty,
URI,upper respiratory infection,
US,ultrasound,
uSAID,undifferentiated Systemic Autoinflammatory Disease,
uSAID,undifferentiated Systemic Autoinflammatory Disease,
USOH,usual state of health,
USPSTF,US Preventive Services Task Force,
UST,ustekinumab,
UTI,urinary tract infection,
UV,ultraviolet,
V/Q,ventilation/perfusion,
VA,ventricular arrhythmia,
VA,visual acuity,
VA,vertebral artery,
VA,venoarterial,
VAC,vacuum-assisted closure,
VAP,ventilator-associated pneumonia,
VAS,Visual Analogue Scale,
VATS,Video Assisted Thoracoscopy,
VB-MAPP,Verbal Behavior Milestones Assessment and Placement Program,
VBAC,vaginal birth after a previous cesarean delivery,
VBG,venous blood gas,
VC,vital capacity,
VCD,vascular closure device,
VD,vascular dementia,
VD,venereal disease,
VDRF,ventilator-dependent respiratory failure,
VDRL,Venereal Disease Research Laboratory (serological test for syphilis),
VDZ,vedolizumab,
VED,Vascular Ehlerse-Danlos Syndrome,
VEEG,video EEG,
VEEV,Venezuelan equine encephalitis virus,
VEGF,vascular endothelial growth factor,
VEO-IBD,Very Early Onset Inflammatory Bowel Disease,
VF,visual field,
VF,ventricular fibrillation,https://en.wikipedia.org/wiki/Ventricular_fibrillation
VHL,von Hippel-Lindau syndrome,
VIDISCA,Virus-Discovery-cDNA-AFLP,
vIGA,Validated Investigator Global Assessment,
VMAT,volume modulated arc therapy,
VMAT2,vesicular monoamine transporter,
VOC,vasoocclusive crisis,
VOGM,Vein of Galen malformation,
VP,Ventriculo-Peritoneal,
VPB,ventricular premature beat,
VPC,ventricular premature complexes,
VRAS,Virginia Radiosurgery AVM Scale,
VRE,vancomycin-resistant enterococci,
VS,Vertiflex Superion,
VS,Vertiflex Superion,
VS,Vertiflex Superion,
VS,vascular surgery,
VS,vital signs,
VSD,ventricular septal defect,
VSS,Venous Sinus Stenting,
VSS,vital signs stable,
VT,vest therapy,
VT,ventricular tachycardia,
VTE,venous thromboembolism,
VV,venovenous,
VVC,vulvovaginal candidiasis,
VVI,"ventricle paced, ventricle sensed, pacing is inhibited if beat is sensed",
VWF,von Willebrand factor,
VWF:Ag,von Willebrand antigen,
VWF:CB,von Willebrand collagen binding,
VWF:RCo,von Willebrand factor ristocetin cofactor,
VZV,Varicella-Zoster Virus,
w/u,workup,
WB,weight bearing,
WBAT,weight bearing as tolerated,
WBC,white blood cells,
WBC,white blood count,
WBRT,whole-brain radiation therapy,
WC,wheelchair,
WCD,wearable cardioverter defibrillator,
WDS,Word Discrimination Score,
WES,Whole Exome Sequencing,
WGS,whole genome sequencing,
WHO,World Health Organization,
WMA,wall motion abnormality,
WMH,white matter hyperintensity,
WNL,within normal limits,
WPW,Wolff-Parkinson-White,
WS,Williams Syndrome,
Wt,weight,
XDR,extensively drug-resistant,
XDR-TB,extensively drug-resistant tuberculosis,
XLA,X-linked agammaglobulinaemia,
XLT,extended length tracheostomy tubes,
XRT,radiotherapy,
YBOCS,Yale Brown Obsessive Compulsive Scale,
yo,year-old/years old,
Zn,zinc,
