Abbreviation/Shorthand,Meaning,More Info
AVD,atrioventricular dissociation,
aVF,augmented vector foot,
AVF,arteriovenous fistula,
AVI,automatic volume infusion pump,
aVL,Augmented Vector Left,
AVM,arteriovenous malformation,
AVN,avascular necrosis,
AVNRT,atrioventricular nodal reentrant tachycardia,
AVP,arginine vasopressin,
aVR,Augmented Vector Right,
AVR,aortic valve replacement,
AVRMVR,aortic valve repair or replacement mitral valve repair or replacement,
AVSS,"afebrile, vital signs stable",
AVWS,acquired von Willebrand syndrome,
AWL,after weight loss,
AWR,Abdominal Wall Reconstruction,
Ax-fem,Axillo‐Femoral,
AXR,abdominal x-ray,
AXT,alternating exotropia,
AZA,azathiopurine,
AZOOR,acute zonal occult outer retinopathy,
B-ALL,B-cell acute lymphoblastic leukemia,
BA,blood alcohol,
BAC,blood alcohol concentration,
BAHA,Bone Anchored Hearing Aid,
BAK,benzalkonium chloride,
BAL,bronchoalveolar lavage,
BAL,blood alcohol level,
BASDAI,Bath Ankylosing Spondylitis Disease Activity Index,
BB-AVF,brachiobasilic arteriovenous fistula,
BBB,blood-brain barrier,
BBB,bundle branch block,
BCBA,board-certified behavior analyst,
BCC,basal cell carcinoma,
BCG,Bacillus Calmette-Guerin,
BCL,bandage contact lens,
BCP,birth control pills,
BCR,B-cell receptor,
BCRL,breast cancer-related lymphedema,
BCS,breast-conserving surgery,
BCSVA,best spectacle-corrected visual acuity,
BD,bile duct,
BD,bronchodilator,
BDZ,benzodiazepine,
BE,barium enema,
bEVAR,branched endovascular aneurysm repair,
BFIE,benign familial infantile epilepsy,
BG,blood glucose,
BHR,Birmingham Hip Resurfacing,
BIBEMS,brought in by emergency medical services,
BID,twice daily,
BiPAP,bi-level positive airway pressure,
BIV,Biventricular,
BJ,body jacket,
BK,below knee,
BKA,below knee amputation,
BLAF,Behavior Language Assessment Form,
BLC,blue-light cystoscopy,
BLE,bilateral lower extremities,
BLSI,blunt liver and spleen injury,
BM,bone marrow,
BM,bowel movement,
BMD,bone mineral density,
BMI,body mass index,
BMP,bone morphogenetic protein,
BMP,basic metabolic panel,
BMR,basal metabolic rate,
BMS,bare metal stent,
BMS,bare metal stent,
BMT,bone marrow transplantation,
BNP,brain natriuretic peptide,
BO,bowel obstruction,
BOC,biopsy of cervix,
BoNT,botulinum neurotoxin,
BOOP,Bronchiolitis Obliterans Organizing Pneumonia,
BOTOX,abobotulinumtoxinA,
BP,blood pressure,
BP,benzoyl peroxide,
BPAD,bipolar affective disorder,
BPD,borderline personality disorder,
BPD,bronchopulmonary dysplasia,
BPF,bronchopleural fistula,
BPG,bypass graft,
BPH,benign prostatic hyperplasia,
BPHII,BPH Impact Index,
BPHTN,blood pressure hypertension,
BPLT,BAK-preserved latanoprost-timolol,
BPM,beats per minute,
BPP,biophysical profile,
BR,bedside rounds,
BR,bed rest,
BRAT,"bananas, rice, apple sauce, and toast (or tea)",
BRB,bright red blood,
BRBPR,bright red blood per rectum,
BRRB,bright red rectal bleeding,
BRUE,brief resolved unexplained event,
BS,blood sugar,
BS,bowel sounds,
BS,breath sounds,
BSA,body surface area,
BSAP,bone specific alkaline phosphatase,
BSC,best supportive care,
BSC,behavioral specialist consultant,
BSO,bilateral salpingo-oophorectomy,
BSSO,Bilateral Sagittal Split Osteotomy,
BT,blood transfusion,
BT,bronchial thermoplasty,
BTA,botulinum toxin A,
BTK,below the knee,
BUN,blood urea nitrogen,
BV,bacterial vaginosis,
BVAB,bacterial vaginosis-associated bacteria,
BVD,bilateral vestibular dysfunction,
BVN,basivertebral nerve,
Bx,biopsy,
