Abbreviation/Shorthand,Meaning
BPF,bronchopleural fistula
BPG,bypass graft
BPH,benign prostatic hyperplasia
BPHTN,blood pressure hypertension
BPM,beats per minute
BPP,biophysical profile
BR,bed rest
BRAT,"bananas, rice, apple sauce, and toast (or tea)"
BRB,bright red blood
BRBPR,bright red blood per rectum
BRRB,bright red rectal bleeding
BRUE,brief resolved unexplained event
BS,blood sugar
BS,bowel sounds
BS,breath sounds
BSA,body surface area
BSC,behavioral specialist consultant
BSO,bilateral salpingo-oophorectomy
BSSO,Bilateral Sagittal Split Osteotomy
BT,blood transfusion
BT,bronchial thermoplasty
BTA,botulinum toxin A
BTK,below the knee
BUN,blood urea nitrogen
BV,bacterial vaginosis
BVAB,bacterial vaginosis-associated bacteria
Bx,biopsy
C DIFF,Clostridium difficile
C/B,complicated by
C/O,complaint of
c/w,consistent with
C&S,culture and sensitivity
CA,calcium
CA,cancer
CA,chronological age
CA-125,cancer antigen 125
CAA,cerebral amyloid angiopathy
CAB,coronary artery bypass
CABG,coronary artery bypass graft
CaCO3,calcium carbonate
CAD,coronary artery disease
CAD-3,three-vessel coronary artery disease
CAG,coronary angiography
CAH,chronic active hepatitis
cAMP,cyclic adenosine monophosphate
CAP,community acquired pneumonia
CAP,Competitive Acquisition Program
CAP,prostate cancer
CAP,College of American Pathologists
CASL-2,"Comprehensive Assessment of Spoken Language, Second Edition"
CAT,computerized axial tomography
CAV,cardiac allograft vasculopathy
CB,Concha bullosa
CBC,complete blood count
CBD,Common Bile Duct
CBD,cannabidiol
CBI,Catheter Based Intervention
CBI,continuous bladder irrigation
CC,chief complaint
CCC,complete concentric collapse
CCJ,craniocervical junction
CCK,cholecystokinin
CCl4,carbon tetrachloride
CCP,cardiac catheterization procedure
CCPDMA,complete circumferential peripheral and deep margin assessment
CCR7,C-C chemokine receptor type 7
CCRCC,clear cell renal cell carcinoma
CCS grade,Canadian Cardiovascular Society grade
CCTA,coronary computed tomography angiography
CD,Crohn's disease
CD4,cluster of differentiation 4
CDAI,Crohn's disease activity index
CDC,Centers for Disease Control and Prevention
CDDP,cisplatin
CDEIS,Crohn’s disease index of severity
CDK,cyclin-dependent kinase
CDMR,Cesarean Delivery at Maternal Request
cDNA,complementary DNA
cDNA-AFLP,cDNA-amplified restriction fragment–length polymorphism
CDP,contractile deceleration point
CDPAS,consumer directed personal assistance services
CEA,Carotid Endarterectomy
CED,Cervical Endoscopic Discectomy
CED,Coverage with Evidence Development
CF,cystic fibrosis
CFA,Common Femoral Artery
CFC,cardio-facio-cutaneous syndrome
cfDNA,cell-free DNA
CFTR,cystic fibrosis transmembrane conductance regulator
CFV,contractile front velocity
CGH,comparative genomic hybridization
CGM,continuous glucose monitoring
CGMS,continuous glucose monitoring system
CGRP,calcitonin gene-related peptide
CHA2DS2-VASc,"congestive heart failure, hypertension, age ≥ 75, diabetes mellitus, prior stroke or TIA or thromboembolism, vascular disease, age 65-74, sex category"
CHD,congenital heart disease
chEVAR,chimney endovascular aneurysm repair
CHF,congestive heart failure
CHG,chlorhexidine-gluconate
CHI,closed head injury
CHIKV,chikungunya virus
China CDC,Chinese Center for Disease Control and Prevention
CHL,Conductive Hearing Loss
CHRD,cysteine–histidine rich domain
CI,Cochlear Implant
CI,confidence interval
CIA,Common Iliac Artery
CIC,clean intermittent catheterization
CIC,chronic idiopathic constipation
CID,compromised immune disorder
CIDP,Chronic Inflammatory Demyelinating Polyneuropathy
CIM,critical illness myopathy
CIN,cervical intraepithelial neoplasia
CIN,Contrast Induced Nephropathy
CIS,carcinoma in situ
CIWA,Clinical Institute Withdrawal Assessment
CK,creatine kinase
CK18,Cytokeratin 18 Fragments
CKD,chronic kidney disease
CKI,cyclin-dependent kinase inhibitor
Cl,chloride
CLIA,Clinical Laboratory Improvement Amendments
CLL,chronic lymphocytic leukemia
CLND,complete lymph node dissection 
CM,cardiomegaly
CM,cardiomyopathy
CM,cell membrane
CM,Chiari malformation
CM-AVM,capillary malformation–ateriovenous malformation syndrome
CMA,chromosomal microarray analysis
CMAP,compound muscle action potentials
CMAP,compound muscle action potential
CMB,cerebral microbleed
CML,chronic myelogenous leukemia
CMP,cardiomyopathy
CMP,comprehensive metabolic panel
CMPA,cow’s milk protein allergy
CMS,Centers for Medicare & Medicaid Services
CMT,cervical motion tenderness
CMV,continuous mandatory ventilation
CMV,cytomegalovirus
CN,cranial nerve
CNA,copy number alteration
CNS,central nervous system
CNT,carbon nanotube
CNV,choroidal neovascularization
CNV,copy number variant
CO,carbon monoxide
CO,cardiac output
CO2,carbon dioxide
COC,certificate of coverage
COLD,chronic obstructive lung disease
COM,Chronic Otitis Media
COME,Chronic Otitis Media With Effusion
COMT,catechol-O-methyltransferase
COOG,Collaborative Ocular Oncology Group
COPD,chronic obstructive pulmonary disease
COS,controlled ovarian stimulation
COVID-19,Coronavirus disease 2019
COWS,clinical opiate withdrawal scale
COX-2,cyclooxygenase 2 inhibitors
CP,chest pain
CP,cerebral palsy
CP,cleft palate
CPAP,continuous positive airway pressure
CPE,cytopathic effect
CPG,Clinical Practice Guideline
CPHSS,Cincinnati Prehospital Stroke Scale
CPK,creatine phosphokinase
CPM,continuous passive motion
CPNB,continuous peripheral nerve block
CPP,central precocious puberty
CPP,chronic pelvic pain
CPR,cardiopulmonary resuscitation
CPS,child protective services
CPT,Current Procedural Terminology
CPT,chest physiotherapy
CR,clinical response
CR,complete response
Cr,Creatinine
CRBBB,complete right bundle branch block
CrCl,Creatinine Clearance
CRF,chronic renal failure
CRISA,catheterization risk in adult patients
CRM,cardiac rhythm management
CRP,C-reactive protein
CRPS,complex regional pain syndrome
CRRT,continuous renal replacement therapy
CRRT,continuous renal replacement therapy
CRS,chronic rhinosinusitis
CRSsNP,chronic rhinosinusitis without nasal polyps
CRSwNP,chronic rhinosinusitis with nasal polyps
CRT,cardiac resynchronization therapy
CS,Costello syndrome
CSF,cerebrospinal fluid
cSNP,coding single-nucleotide polymorphism
CSS,cancer-specific survival
CT,computerized tomography
CTA,clear to auscultation
CTA,Computed Tomographic Angiography
CTC,circulating tumor cell
CTG,cardiotocography
CTO,coronary total occlusion
CTPA,CT pulmonary angiography
CTS,carpal tunnel syndrome
CTV,CT venogram
CURB-65,"confusion, BUN, respiration rate, BP, Age 65+"
CV,cardiovascular
CVA,cerebrovascular accident
CVA,costovertebral angle
CVAT,costovertebral angle tenderness
CVC,central venous catheter
CVICU,Cardiovascular Intensive Care Unit
CVID,common variable immunodeficiency
CVP,central venous pressure
CVS,cardiovascular system
CVS,chorionic villus sampling
Cx,culture
CXR,chest x-ray
CYS,Child & Youth Services
D/C,discharge
d/c,discontinue
D&C,dilatation & curettage
DAA,direct-acting antiviral
DAC,dose-adjustment coefficient
DAD,diffuse alveolar damage
DAO,diamine oxidase
DAPT,dual antiplatelet therapy
DASH,"Disabilities of the Arm, Shoulder and Hand"
DBP,diastolic blood pressure
DBS,deep brain stimulation
DBT,dialectical behavior therapy
DCB,drug-coated balloon
DCI,distal contractile integral
DCIS,ductal carcinoma in situ
DCM,dilated cardiomyopathy
DDD,degenerative disc disease
DDI,drug to drug interaction
DDX,differential diagnosis
DE,donor egg
DEB,diepoxybutane
DED,dry eye disease
DES,drug-eluting stent
DEXA,dual-energy x-ray absorption
DFE,dilated fundus examination
DFS,disease-free survival
DFV,Doppler flow velocimetry
DGE,Delayed Gastric Emptying
DGL,deglycyrrhizinated licorice
DHA,docosahexaenoic acid
DHT,dihydrotestosteron
DI,diabetes insipidus
DIC,disseminated intravascular coagulation
DILI,drug-induced liver injury
DIPG,diffuse intrinsic pontine glioma
DISE,drug-induced sleep endoscopy
DISIDA,cholescintigraphy
DJD,degenerative joint disease
DKA,diabetic ketoacidosis
DL,Direct Laryngoscopy
DL,distal latency
DLCT,dual-layer CT
DLGNT,diffuse leptomeningeal glioneuronal tumor
DM,diabetes mellitus
DMARD,disease-modifying antirheumatic drug
DMDD,disruptive mood dysregulated disorder
DMT,disease-modifying therapy
DNA,deoxyribonucleic acid
DNI,do not intubate
DNR,do not resuscitate
DNS,Deviated Nasal Septum
DOAC,directly acting oral anticoagulants
DOB,date of birth
DOE,dyspnea on exertion
DOS,date of service
DOT,directly observed therapy
DP,Dorsalis pedis
DP,double prong
DPD,dihydropyrimidine dehydrogenase
DPP4,Dipeptidyl Peptidase-4
DQ,developmental quotient
DRE,digital rectal exam
DRG,dorsal root ganglion
DS,Down syndrome
DS,duodenal switch
DSA,Digital Subtraction Angiography
DSA,donor-specific antibodies
dsDNA,double-stranded DNA
DSM,Diagnostic and Statistical Manual of Mental Disorders
DT,delirium tremens
dTMS,Deep Transcranial Magnetic Stimulation
DTP,"diphtheria, tetanus, pertussis"
DTR,deep tendon reflexes
DUS,Duplex Ultrasonography
DVIU,Direct Visual Internal Urethrotomy
DVR,Double Valve Replacement
DVT,deep venous thrombosis
DZ,disease
E/M,evaluation and management
EAC,External Auditory Canal
EAEC,Enteroaggregative Escherichia coli
EASI,Eczema Area and Severity Index
EBL,estimated blood loss
EBL,estimated surgical blood loss
EBRT,external beam radiation therapy
EBUS,endobronchial ultrasound
EBV,epstein barr virus
ECG,electrocardiogram
Echo,echocardiogram
ECMO,extracorporeal membrane oxygenation
ECS,elective cesarean section
ECT,electroconvulsive therapy
ECV,external cephalic version
ED,emergency department
ED,erectile dysfunction
EDL,Extensor Digitorum Longus
EDS,excessive daytime sleepiness
EDS,Eye Dryness Score
EEG,electroencephalogram
EES,everolimus eluting stent
EF,ejection fraction
EFL,expiratory flow limitation
EFLI,expiratory flow limitation index
EFM,electronic fetal monitoring
EGA,estimated gestational age
EGD,esophagogastroduodenoscopy
eGFR,Estimated Glomerular Filtration Rate
EGFR,epidermal growth factor receptor
EHL,extensor halluces longus
EIA,External Iliac Artery
EIA,enzyme immunoassay
EKG,electrocardiogram
ELF,endoluminal fundoplication
ELF,Enhanced Liver Fibrosis Panel
ELISA,enzyme-linked immunosorbent assays
EMDR,eye movement desensitization and reprocessing
EMG,electromyelogram
EMR,electronic medical record
EMS,emergency medical services
ENoG,Electroneurography
ENT,"ear, nose, throat/otolaryngology"
EOB,explanation of benefits
EoE,eosinophilic esophagitis
EOG,electrooculogram
EOL,end of life
EOM,extraocular muscles (movements)
EP,electrophysiology
EP,etoposide and cisplatin (chemotherapy)
Ep-GBM,epithelioid glioblastoma
EPS,electrophysiology study
EPS,encapsulated peritoneal sclerosis
ER,emergency room
ER,estrogen receptor
ERAS,Early Recovery after Surgery
ERCP,endoscopic retrograde cholangiopancreatography
ERP,Exposure with Response Prevention
ERV,endogenous retrovirus
ES,epidural steroids
eSET,Elective Single Embryo Transfer
ESI,epidural steroid injection
ESLD,end stage liver disease
ESR,erythrocyte sedimentation rate
ESRD,end-stage renal disease
ESS,Epworth Sleepiness Scale
ESS,endoscopic sinus surgery
EST,electroshock therapy
ESWL,Extracorporeal Shock Wave Lithotripsy
ESWT,Extracorporeal Shock Wave Therapy
ET,essential tremor
ET,essential thrombocythaemia
ETANTR,embryonal tumors with abundant neuropil and true rosettes
ETMR,embryonal tumor with multilayered rosettes
EtOH,alcohol
ETS,endoscopic thoracic sympathectomy
ETT,endotracheal tube
ETT,exercise tolerance test
EUA,Exam Under Anesthesia
EUS,Endoscopic Ultrasound
EV,extracellular vesicle
EVAR,Endovascular Aneurysm Repair
EVAS,Endovascular Aneurysm Sealing
EVH,Endoscopic Vein Harvest
EVLA,endovenous laser ablation
F/U,follow up
FABER,"Flexion, Abduction and External Rotation"
FAD,flavin adenine dinucleotide
FAI,Femoral-Acetabular Impingement
FAP,familial adenomatous polyposis
FB,foreign body
FBS,fasting blood sugar
FBSS,Failed Back Surgery Syndrome
FC,fecal calprotectin
FDA,Food and Drug Administration
FDG,fluorodeoxyglucose
FDR,false discovery rate
FeNO,fractional exhaled nitric oxide
FET,frozen embryo transfer
FEV1,forced expiratory volume 1 second
fEVAR,fenestrated endovascular aneurysm repair
FFDM,freedom from widespread distant metastasis
FFPE,formalin-fixed paraffin-embedded 
FFR,filtering facepiece respirator
FHF,fulminant hepatic failure
FHO,Femoral Head Ostectomy
FiO2,fractional inspired oxygen concentration
FIP,Feline Infektiöse Peritonitis
FISH,fluorescence in situ hybridization
FIT,fellow in training
FLAIR,fluid-attenuated inversion recovery
FM,fibromyalgia
FM,fetal monitor
FMF,Familial Mediterranean Fever
FMN,flavin mononucleotide
FMS,fibromyalgia syndrome
FN,femoral nerve
FN,false negative
FNA,fine needle aspiration
FNAB,fine needle aspiration biopsy
FOB,father of baby
FOBT,fecal occult blood testing
FP,false positive
fPSA,free prostate specific antigen
FRAX,fracture risk assessment
FRC,functional residual capacity
FSG,finger stick glucose
FSGS,Focal Segmental Glomerulosclerosis
FSH,follicle stimulating hormone
FSP,familial spastic paraparesis
FSS,Freeman-Sheldon syndrome
FT,functional threshold
FT,first trimester
FTM,female-to-male
FTSG,Full Thickness Skin Graft
FTT,failure to thrive
FUO,Fever of Unknown Origin
FVC,forced vital capacity
Fx,fracture
G-J,gastrostomy-jejunostomy/Gastro-Jejunal
GA,general anesthesia
GABHS,group A β-hemolytic streptococcal
GAD,general anxiety disorder
GAG,glycosaminoglycan
GAK,Cyclin G-associated kinase
GAS,Group A Streptococcus
GAS,Gender Affirmation Surgery
GB,gallbladder
GBM,glioblastoma multiforme
GBM-PNC,glioblastomas with primitive neuronal components
GBS,Group B streptococcal
GC,Gonorrhea
GC-rich,Guanine/Cytosine-rich
GCS,Glascow coma scale
gDNA,genomic DNA
GEF,guanosine nucleotide exchange factor
GEP,gene expression profiling
GER,gastroesophageal reflux
GERD,gastroesophageal reflux disease
GFR,Glomerular filtration rate
GGA,Genioglossus Advancement
GGO,ground-glass opacity
GGT,gamma-glutamyltransferase
GH,growth hormone
GHD,growth hormone deficiency
GI,gastroenterologist
GI,gastrointestinal
GIB,gastrointestinal bleeding
GIST,gastrointestinal stromal tumor
GLP-1,glucagon-like peptide-1
GLT,glucose loading test
Gluc,glucose
GLUT,glucose transport proteins
GMFCS,Gross Motor Function Classification System
GNR,gram negative rod
GnRH,gonadotropin-releasing hormone
GnRHa,gonadotropin-releasing hormone agonist
GOF,gain-of-function
GPB,glycophorin B
GPC,gram positive coccus
GPR,gram positive rods
GPS,Genomic Prostate Score
GRB2,growth factor receptor-bound protein 2
GRS,Gender Reassignment Surgery
GS,general surgery
GS,gram stain
GSD,glycogen storage disease
GSV,great saphenous vein
GSW,gunshot wound
GTC seizure,generalized tonic-clonic seizure
GTT,drop(s)
GTT,glucose tolerance test
GU,genitourinary
GVHD,graft versus host disease
GWAS,genome-wide association study
Gyn,gynecology
H/H,hemoglobin/hematocrit
h/o,history of
H&H,hemoglobin and hematocrit
H&P,history and physical
H20,water
H2O2,hydrogen peroxide
HA,hyaluronic acid
HA,headache
HA,hearing aid
HA,histamine
HA-R,histamine receptor
HAART,highly active antiretroviral therapy
HAGMA,High Anion Gap Metabolic Acidosis
HAL,hexaminolevulinate
HAP,hospital-acquired pneumonia
HAPE,high altitude pulmonary edema
HAT,"hypoxanthine, aminopterin, thymidine"
HAV,hepatitis A virus
HAVB,high-grade atrioventricular block
Hb,hemoglobin
HBeAg,hepatitis B e-antigen
HBI,HARVEY-BRADSHAW INDEX
HBO,hyperbaric oxygen
HBsAg,Hepatitis B surface antigen
HbSS,sickle cell
HBV,hepatitis B virus
HC,hydroxycarbamide
HCAP,healthcare-associated pneumonia
HCC,Hepatocellular Carcinoma 
HCG,Human Chorionic Gonadotropin
HCM,hypertrophic cardiomyopathy
HCMV,human cytomegalovirus
HCO3,bicarbonate
HCoV-229E,human coronavirus 229E
HCPCS,Healthcare Common Procedure Coding System
Hct,hematocrit
HCTZ,hydrochlorothiazide
HCV,Hepatitis C virus
HCVD,hypertensive cardiovascular disease
HD,hemodynamically
HD,hemodialysis
HD,Hirschsprung's disease
HD,hospital day
HDC,histidine decarboxylase
HDFN,hemolytic disease of the fetus and newborn
HDL,high density lipoprotein
HDLP,HDL particle concentration
HDN,hemolytic disease of the newborn
HE,hemagglutinin–acetylesterase
HEART,"History, EKG, Age, Risk factors, initial Troponin"
HEENT,"head, eyes, ears, nose, throat"
HeFH,heterozygous familial hypercholesterolaemia
HF,heart failure
HFCC,high-frequency chest clearance
HFCWO,high-frequency chest wall oscillation
HFNC,High-Flow Nasal Cannula
HFpEF,heart failure with preserved ejection fraction
Hg,hemoglobin
HGB,hemoglobin
HH,hiatal hernia
HHA,home health aide
HHS,Hyperglycemic Hyperosmolar Syndrome
HI,homicidal ideation
HIDA,cholescintigraphy
HIPAA,Health Insurance Portability and Accountability Act
HIS,histidine
HIV,human immunodeficiency virus
HK,Horseshoe Kidney
hK2,human kallikrein 2
HLA-B27,human leukocyte antigen B27
HLD,Handicapping Labio-Lingual Deviation
HLP,hyperlipidemia
HM,Heller myotomy 
HME,home medical equipment
HMGB1,high mobility group box 1
HNMT,histamine N-methyltransferase
HNP,Herniated Nucleus Pulposus
HNS,hypoglossal nerve stimulation
HOMA,Homeostatic Model Assessment
HOMA-IR,homeostatic model assessment of insulin resistance
HP,Hypopharynx
HPA,hypothalamic-pituitary-adrenal
HPI,history of present illness
HPS,Hantavirus pulmonary syndrome
HPV,human papillomavirus
HR,hormone receptor
HR,heart rate
HRM,high-resolution manometry
HRQL,health-related quality of life
HRT,hormone replacement therapy
HS,high-sensitivity
HS,at bedtime
HS,heparan sulfate
HS-CRP,high sensitivity C-reactive protein
HSP,Henoch-Schönlein purpura
HSP,hereditary spastic paraplegia
HSPG,Heparan Sulfate Proteoglycan
HSROC,hierarchical summary receiver operating characteristic
HSV,herpes simplex virus
HTC,humidified trach collar
HTG,hypertriglyceridemia
HTN,Hypertension
HU,hydroxyurea
HUD,Humanitarian Use Device
HUS,hemolytic-uremic syndrome
Hx,history
HZV,Herpes Zoster Virus
I&D,incision and drainage
I&D,irrigation and debridement
I&O,intake and output
IA,imidazole acetaldehyde
IAA,Iliac Artery Aneurysm
IAA,imidazole acetic acid
IAAR,imidazole acetic acid riboside
IABP,intra-aortic balloon pump
IAC,Internal Auditory Canal
IAD,incontinence-associated dermatitis
IADL,instrumental activities of daily living
IAH,Intra-abdominal Hypertension
IAHA,intra-articular hyaluronic acid
IAP,intra-abdominal pressure
IBD,identity by descent
IBD,inflammatory bowel disease
IBM,inclusion body myositis
IBS,irritable bowel syndrome
IBS-C,constipation-predominant irritable bowel syndrome
IBS-D,Irritable Bowel Syndrome with Diarrhea
IBW,ideal body weight
ICD,implantable cardioverter defibrillator
ICH,intracranial hemorrhage
ICL,interstrand crosslinks
ICM,ischemic cardiomyopathy
ICP,intracranial pressure
ICP,Intracranial Pressure
ICPP,idiopathic central precocious puberty
ICR,insulin-to-carbohydrate ratio
ICS,inhaled corticosteroids
ICSI,intracytoplasmic sperm injection
ICU,intensive care unit
ID,infectious disease(s)
IDDM,insulin-dependent diabetes mellitus
IDE,Investigational Device Exemption
IDP,intrinsically disordered protein
IDSA,Infectious Diseases Society of America
IDU,intravenous drug use
IED,intermittent explosive disorder
IFA,immunofluorescent assay
IFITM,interferon-induced transmembrane
IFN,interferon
IFU,Instructions For Use
IFX,infliximab
Ig,immunoglobulin
IgA,Immunoglobulin A
IgD,immunoglobulin D
IgE,immunoglobulin E
IGF-1,insulin-like growth factor 1
IGFBP3,insulin-like growth factor binding protein 3
IgG,immunoglobulin G
IgM,immunoglobulin M
IGR-SRS,image-guided robotic stereotactic radiosurgery 
