Abbreviation/Shorthand,Meaning,More Info
PCP,primary care provider,
PCR,polymerase chain reaction,
PCR,pharyngeal constriction ratio,
PCSK9,proprotein convertase subtilisin kexin 9,
PCT,procalcitonin,
PCU,progressive care unit,
PD,postural drainage,
PD,Parkinson's disease,
PD,Peritoneal Dialysis,
PD,pneumatic dilation,
PD,progressive disease,
PDE4,phosphodiesterase 4,
PDN,private duty nursing,
PDT,Photodynamic Therapy,https://www.cancer.gov/about-cancer/treatment/types/surgery/photodynamic-fact-sheet
PE,physical examination,
PE,pulmonary embolism,
PE,Pressure Equalizer,
PEA,pulseless electrical activity,
PED,pigment epithelial detachment,
PED,Persistent Epithelial Defect,
PED,paroxysmal exercise-induced dyskinesia,
PEEK,polyaryletherketone,
PEEP,positive end expiratory pressure,
PEF,peak expiratory flow,
PEFR,peak expiratory flow rate,
PEG,percutaneous endoscopic gastrostomy,
PEG,polyethylene-glycol,
PEMS,Poult Enteritis and Mortality Syndrome,
PEP,positive expiratory pressure,
PERRL,pupils equal round and reactive to light,
PERRLA,"pupils equal, round, and reactive to light and accommodation",
PERS,personal emergency response system,
PET,positron emission tomography,
PEth,phosphatidylethanol,
PF,peak flow,
PFD,pediatric feeding disorder,
PFG,patient focus group,
PFH,plasma-free hemoglobin,
PFO,patent foramen ovale,
PFPT,pelvic floor physical therapy,
PFS,progression-free survival,
PFS6,progression-free survival at six months,
PFT,pulmonary function test,
PFU,plaque-forming unit,
PGCG,peripheral giant cell granuloma,
PGD,preimplantation genetic diagnosis,
PGS,preimplantation genetic screening,
PGT,Preimplantation Genetic Testing,
PGT-A,Preimplantation Genetic Testing for Aneuploidy,
PGT-M,preimplantation genetic testing for monogenic disorder,
PH,pulmonary hypertension,
pH,potential of hydrogen,
PHEIC,Public Health Emergency of International Concern,
PHI,Prostate Health Index,
PHMM,posterior horn of the medial meniscus,
PHN,postherpetic neuralgia,
PHP,partial hospitalization program,
PHQ,patient health questionnaire,
PHV,percutaneously implanted heart valve,
Pi,inorganic phosphate,
PI,pneumatosis intestinalis,
PI,protease inhibitor,
PiB-PET,Pittsburgh compound B-positron emission tomography ,
PICC,peripherally inserted central catheter,
PICO,"population, intervention, comparator, and outcomes",
PICU,pediatric intensive care unit,
PID,primary immunodeficiency,
PID,pelvic inflammatory disease,
PIDD,primary immunodeficiency disease,
PIP,penile improvement protocol,
PIVENS,Pioglitazone versus Vitamin E versus Placebo for the Treatment of Non-diabetic patients with Nonalcoholic steatohepatitis,
PiZ,protease inhibitor Z,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC304021/
PiZZ,protease inhibitor ZZ,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3418297/
pJIA,polyarticular Juvenile Idiopathic Arthritis,
PK,pharmacokinetic,
PKD,paroxysmal kinesigenic dyskinesia,
PKD,polycystic kidney disease,
PKP,penetrating keratoplasty,
PKR,Partial Knee Replacement,
PKU,phenylketonuria,
PLEX,plasma exchange,
PLIF,Posterior Lumbar Interbody Fusion,
PLN,phospholamban,
PLP,pyridoxal phosphate,
PLS-5,"Preschool Language Scale, Fifth edition",
PLT,platelets,
PM,polymyositis,
pm,post meridiem,
PMA,pilomyxoid astrocytoma,
PMAT,plasma membrane monoamine transporter,
PMC,polymer-matrix composites,
PMDB,Prescription Monitoring Database,
PMH,past medical history,
PMI,point of maximum impulse (of the heart),
PMN,Polymorphonuclear Leukocyte,
PMO,phosphorodiamidate morpholino oligomer,
PMP,pyridoxamine phosphate,
PNA,pneumonia,
PND,Paroxysmal Nocturnal Dyspnea,
PND,postnasal drainage,
PNET,primitive neuroectodermal tumor,
PNH,Paroxysmal Nocturnal Hemoglobinuria,
PNKD,paroxysmal non-kinesigenic dyskinesia,
PO,by mouth/oral,
PO2,partial pressure of oxygen,
POAG,primary open-angle glaucoma,
POC,post-operative complications,
POD,postoperative day,
POEM,Per-Oral Endoscopic Myotomy ,
POV,Power-Operated Vehicle,
pPCI,primary percutaneous coronary intervention,
PPD,purified protein derivative,
PPE,personal protective equipment,
PPH,Procedure for Prolapsed Hemorrhoids,
PPI,protein-protein interaction,
PPI,proton pump inhibitor,
PpIX,protoporphyrin IX,
ppm,parts per million,
PPM,permanent pacemaker,
PPROM,preterm premature rupture of membranes,
PPS,posterior probability of superiority,
PPV,positive predictive value,
PR,progesterone receptor,
PR,platelet reactivity,
PR,partial response,
PRBC,packed red blood cells,
PRCoV,porcine respiratory coronavirus,
PRI,Patient Review Instrument,
PRISMA,Preferred Reporting Items for Systematic Reviews and Meta-Analyses,
PRK,photorefractive keratectomy,
PRN,as needed,
PROM,premature rupture of membranes,
PRP,platelet-rich plasma,
PRRT2,Proline Rich Transmembrane Protein 2,
PRV,planning at-risk volume,
PS,pressure support,
PS,Parkinsonian syndromes,
PSA,prostate specific antigen,
PsA,psoriatic arthritis,
PSARP,posterior sagittal anorectoplasty,
PSC,primary sclerosing cholangitis,
PSG,polysomnogram,
PSH,past surgical history,
PSI,pneumonia severity index,
PSM,positive surgical margins,
PSP,progressive supranuclear palsy,
PSPT,passive scattering proton therapy,
PSV,pressure support ventilation,
PSW,penoscrotal webbing,
Pt,patient,
PT,physical therapy,
PT,prothrombin time,
PTA,pure-tone average,
PTA,Percutaneous Transluminal Angioplasty,
PTA,peritonsillar abscess,
PTA,prior to admission,
PTCA,Percutaneous Transluminal Coronary Angioplasty,
PTE,pulmonary thromboembolism,
PTEN,phosphatase and tensin homolog,
PTFE,polytetrafluoroethylene,
PTH,parathyroid hormone,
PTHrP,parathyroid hormone-related protein,
PTK,phototherapeutic keratectomy,
PTP,protein tyrosine phosphatase,
PTS,Parsonage-Turner syndrome,
PTSD,post traumatic stress disorder,
PTT,partial thromboplastin time,
PTU,propylthiouracil,
PTV,planning target volume,
PUD,peptic ulcer disease,
PUP,previously untreated patient,
PUVA,psoralen and ultraviolet A,
PV,pulmonary vein,
PV,pressure-volume,
PVC,premature ventricular contraction,
PVD,peripheral vascular disease,
PVI,pulmonary vein isolation,
PVL,Periventricular Leukomalacia,
PVP-I,povidone-iodine,
PVR,postvoid residual urine volume,
PVR,pulse volume recording,
PVS,pulmonary vein stenosis,
PW,posterior wall,
PWC,Power Wheelchair,
PWS,Prader-Willi syndrome,
Q4H,every four hours,
Q8H,every eight hours,
QALY,Quality Adjusted Life Years,
QAM,every morning,
QD,every day/daily,
QH,every hour/hourly,
QHP,Qualified Healthcare Professional,
QHS,every night/nightly,
QID,four times per day,
Qmax,maximum urine flow rate,
QN,every night/nightly,
QOD,every other day,
QoL,quality of life,
qPCR,quantitative polymerase chain reaction,
QTc,corrected QT interval,
QXH,every X hours,
R,right,
R/O,rule out,
R0,reproduction number,
RA,rheumatoid arthritis,
RA,right atrium,
RA,room air,
RA,rotational atherectomy,
rAAA,Ruptured Abdominal Aortic Aneurysm,
RAC,recovery audit contractor,
RAS,resistance-associated substitution,
RasGEF,Ras guanine nucleotide exchange factor,
RBAS,radiosurgery-based AVM score,
RBBB,right bundle branch block,
RBC,red blood cells,
RBC,red blood count,
RBD,receptor binding domain,
RC,radical cystectomy,
RCA,right coronary artery,
RCC,renal cell carcinoma,
RCG,radiocardiography,
RCM,reflectance confocal microcopy,
RCM,reflectance confocal microscopy,
RCT,randomized controlled trial,
RCT,rotator cuff tear,
RCVP,"rituximab, cyclophosphamide, vincristine sulfate, prednisone",
RD,retinal detachment,
RDF,roof-dependent flutter,
RDI,respiratory disturbance index,
RdRp,RNA-dependent RNA polymerase,
RDS,respiratory distress syndrome,
RDV,remdesivir,
RECIST,Response Evaluation Criteria in Solid Tumors,
REM,rapid eye movement,
REMS,risk evaluation and mitigation strategy,
RERA,respiratory-effort related arousal,
RETU,Rapid Evaluation and Treatment Unit,
RF,risk factor,
RFA,radiofrequency ablation,
RFA,right femoral artery,
RFFP,radial forearm flap phalloplasty,
RFP,red fluorescent protein,
RFS,Reflux Finding Score,
RFS,recurrence-free survival,
RFT,renal function test,
RFVTA,radiofrequency volumetric thermal ablation,
Rh,rhesus factor,
rhGH,recombinant human growth hormone,
RIC,radiation-induced change,
RIMA,right internal mammary artery,
RIPC,remote ischaemic preconditioning,
RIS,reflux injury score,
RITLS,Rossetti Infant-Toddler Language Scale,
RLE,right lower extremity,
RLF,Retrolental Fibroplasia,
RLL,right lower lobe,
RLQ,right lower quadrant,
RML,right middle lobe,
RMS,relapsing multiple sclerosis,
RNA,ribonucleic acid,
RNFL,retinal nerve fiber layer,
RNP,ribonucleoprotein,
ROC,receiver operating characteristic,
ROM,range of motion,
ROM,rupture of membranes,
ROPES,Repetitive Obstacle Performance Evaluation System,
ROS,review of systems,
ROSAH,"retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis and migraine headache",
ROSC,return of spontaneous circulation,
RP,radiation pneumonitis,
RP,retinitis pigmentosa ,
RP PCR,respiratory polymerase chain reaction,
RPE,retinal pigment epithelium,
RPG,Retrograde Pyelogram,
RPL,recurrent pregnancy loss,
RPLV,right posterolateral ventricular branch,
RPP,Respiratory Pathogen Panel,
RPR,rapid plasma regain,
RPT,Rifapentine,
RR,response rate,
RR,risk ratio,
RR,respiratory rate,
RR,relative risk,
RRR,regular rate and rhythm,
RRT,renal replacement therapy,
rRT-PCR,real-time reverse transcriptase polymerase chain reaction,
RSD,reflex sympathetic dystrophy,
RST,renal support therapy,
RSV,respiratory syncytial virus,
RT,radiation therapy,
RT,respiration therapy,
RT-PCR,reverse transcription polymerase chain reaction,
RTA,renal tubular acidosis,
RTC,replicase-transcriptase complex,
RTK,receptor tyrosine kinase,
rTMS,repetitive transcranial magnetic stimulation,
RTOG,Radiation Therapy Oncology Group,
RUE,right upper extremity,
RUL,right upper lobe,
RUQ,right upper quadrant,
rUTI,recurrent urinary tract infection,
RV,right ventricle,
RVFWS,RV free wall longitudinal systolic strain,
RVP,respiratory viral panel,
RVR,rapid ventricular response,
RVSP,right ventricular systolic pressure,
RW,rolling walker,
RYR2,ryanodine receptor-2,
