Abbreviation/Shorthand,Meaning,More Info
IL-4Ra,interleukin 4 receptor,
IL-5,Interleukin 5,
IL-7,Interleukin 7,
IL-9,Interleukin 9,
ILD,interstitial lung disease,
ILESI,interlaminar epidural steroid injections,
ILI,influenza-like illness,
ILK,intralesional Kenalog,
ILR,implantable loop recorder,
ILST,independent living skills and training services,
IM,intramuscular,
IMA,inferior mesenteric artery,
IMA,Internal Mammary Artery,
IMA,ischemia-modified albumin,
IMFN,inframammary fold to nipple distance,
IMH,Intramural Haematoma,
IMM,immunomodulator,
IMN,internal mammary node,
IMPL,Implant,
IMPT,Intensity-Modulated Proton Beam Therapy,
IMRT,intensity-modulated radiation therapy,
IMS,Intra‐Metatarsal Space,
IMU,inertial motion unit,
IN,intranasal,
indel,insertion-deletion,
InflAAA,Inflammatory Abdominal Aortic Aneurysm,
INH,Isoniazid,
INHA,Inhaler,
INJ,Injectable,
iNKT,invariant natural killer T,
INO,Internuclear Ophthalmoplegia,
INPH,idiopathic normal pressure hydrocephalus,
INR,international normalized ratio,
INST,insert,
IOC,Intraoperative Cholangiogram,
IOL,Intraocular Lens,
IOM,intraoperative monitoring,
ION,infraorbital nerve,
IONM,Intraoperative Neurophysiological Monitoring,
IOP,Intensive Outpatient Program,
IOP,intraocular pressure,
IORT,intraoperative radiation therapy,
IP,Iatrogenic Pneumothorax,
IP,iliopsoas muscles,
IP,interphalangeal,
IP,interference potential,
IPA,isopropyl alcohol,
IPAA,ileal pouch-anal anastomosis,
IPAH,idiopathic pulmonary arterial hypertension,
IPC,inner pillar cell,
IPC,intermittent pneumatic compression,
IPE,icosapent ethyl,
IPF,idiopathic pulmonary fibrosis,
IPG,implanted pulse generator,
IPJ,Intra‐Phalangeal Joint,
IPL,intense pulsed light,
IPM,interventional pain management ,
IPMN,intraductal papillary mucinous neoplasm,
IPPB,intermittent positive pressure breathing,
iPSA,intact prostate specific antigen,
iPSC,induced pluripotent stem cell,
IPSET-Thrombosis,International Prognostic Score of Thrombosis for ET,
IPSS,International Prostate Symptom Score,
IQR,interquartile range,
IR,immediate release,
IR,implantation rate,
IR,internal rotation,
IR,interventional radiology,
IRB,institutional review board,
IRBBB,incomplete right bundle branch block,
IRF,inpatient rehabilitation facility,
IRMA,immunoradiometric assay,
IRP,Integrated Relaxation Pressure,
IS,infarct size,
IS,insulin sensitivity,
ISASS,International Society for the Advancement of Spine Surgery,
ISC,Inpatient & Surgical Care guidelines,
ISF,Insulin Sensitivity Factor,
ISG,interferon-stimulated gene,
ISIB,intrasphincteric injection of Botox,
ISR,in-stent restenosis,
ISRT,involved site radiation therapy,
ISS,idiopathic short stature,
ISS,Interspinous Spacer,
ISS,itch severity score,
ISSNHL,idiopathic sudden sensorineural hearing loss,
IT,iliotibial,
IT,intrathecal,
IT,intratympanic,
IT,time from symptom onset to coronary intervention,
IT,intentional trauma,
ITB,iliotibial band,
ITB,intrathecal baclofen,
ITI,Inner to Inner,
ITP,idiopathic thrombocytopenic purpura,
ITP,immune thrombocytopenia,
ITP,immune thrombocytopenic purpura,
ITP,immune-mediated thrombocytopenia,
ITP,intrathecal pump,
ITR,Inferior Turbinate Reduction,
ITT,Intent-to-Treat,
ITT,intrathecal therapy,
ITU,intensive therapy unit,
IU,international units,
IUD,intrauterine device,
IUGR,intrauterine growth restriction,
IUI,intrauterine insemination,
IUP,intrauterine pregnancy,
IUPC,intrauterine pressure catheter,
IUUS,intrauterine ultrasound,
IV,intravenous,
IVC,inferior vena cava,
IVCD,intraventricular conduction delay,
IVD,intervertebral disc,
IVDA,Intravenous Drug Abuse,
IVDU,intravenous drug use,
IVF,In Vitro Fertilization,
IVF,intravenous fluids,
IVH,Intravenous Hyperalimentation,
IVH,iIntraventricular hemorrhage,
IVIG,intravenous immunoglobulin,
IVL,intravascular lithotripsy,
IVL-DCB,drug-coated balloon angioplasty with adjunct intravascular lithotripsy,
IVP,intravenous push,
IVP,intravenous pyelogram,
IVPB,intravenous piggyback,
IVRO,intraoral vertical ramus osteotomy,
IVT,intravenous thrombolysis,
IVU,intravenous urography,
IVUS,intravascular ultrasound,
