Abbreviation/Shorthand,Meaning,More Info
HEENT,"head, eyes, ears, nose, throat",
HeFH,heterozygous familial hypercholesterolaemia,
HEP,home exercise program,
HER2,human epidermal growth factor receptor 2,
HESX1,homeobox expressed in embryonic stem cells 1,
HF,heart failure,
HFA,hydrofluoroalkane-134a,
HFCC,high-frequency chest clearance,
HFCWO,high-frequency chest wall oscillation,
HFE,homeostatic iron regulator,https://www.ncbi.nlm.nih.gov/gene/3077
HFNC,High-Flow Nasal Cannula,
HFpEF,heart failure with preserved ejection fraction,
HFrEF,heart failure with reduced ejection fraction,
Hg,hemoglobin,
Hg,mercury,
HGB,hemoglobin,
HGF,hepatocyte growth factor,
HGG,High Grade Glioma,
HH,hereditary hemochromatosis,
HH,hiatal hernia,
HHA,home health aide,
HHS,Hyperglycemic Hyperosmolar Syndrome,
HI,homicidal ideation,
HIDA,hepatobiliary iminodiacetic acid scan,
HIE,hypoxic-ischemic encephalopathy,
HIF-1,hypoxic inducible factor-1,
HIFU,High Intensity Focused Ultrasound,
HIPAA,Health Insurance Portability and Accountability Act,
HIPEC,Hyperthermic Intraperitoneal Chemotherapy,
HIS,histidine,
HiSCR,Hidradenitis Suppurativa Clinical Response,
HIT-6,Headache Impact Test,
HIV,human immunodeficiency virus,
HJV,hemojuvelin,
HK,Horseshoe Kidney,
hK2,human kallikrein 2,
HL,hearing loss,
HL/S,high ligation and stripping,
HLA,human leukocyte antigen,"https://pubmed.ncbi.nlm.nih.gov/31274511/#:~:text=HLA%20genetic%20testing%20is%20available%20through%20a%20number,celiac%20disease%2C%20but%20a%20low%20positive%20predictive%20value."
HLA-B27,human leukocyte antigen B27,
HLD,Handicapping Labio-Lingual Deviation,
HLD,hyperlipidemia,
HLP,hyperlipidemia,
HLS,high ligation and stripping,
HM,Heineke-Mikulicz,
HM,Heller myotomy ,
HM,hemiplegic migraine,
HM,hand motion,
HM3,HeartMate 3,
HMB,heavy menstrual bleeding,
HME,home medical equipment,
HMG-CoA,hydroxymethyl glutaryl coenzyme A,
HMGB1,high mobility group box 1,
HMN,hypoglossal motor nucleus,
HNC,head and neck cancer,
HNMT,histamine N-methyltransferase,
HNP,Herniated Nucleus Pulposus,
HNPCC,non-polyposis colorectal cancer,
HNS,hypoglossal nerve stimulation,
HNSCC,head and neck squamous cell carcinoma,
HOB,head-of-bed,
HOBE,head-of-bed elevation,
HOCM,Hypertrophic Obstructive Cardiomyopathy,
HOH,hard of hearing,
HoLEP,holmium laser enucleation of the prostate,
HOMA,Homeostatic Model Assessment,
HOMA-IR,homeostatic model assessment of insulin resistance,
HOXB13,Homeobox B13,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HOXB13
HP,hypersensitivity pneumonitis,
HP,highly purified,
HP,Hypopharynx,
HPA,hypothalamic-pituitary-axis,
HPA,hypothalamic-pituitary-adrenal,
HPG,hypothalamic-pituitary-gonadal,
HPI,history of present illness,
HPL,human placental lactogen,
HPL,hyperlipidemia,
HPP,hypophosphatasia ,https://rarediseases.info.nih.gov/diseases/6734/hypophosphatasia
HPS,Hantavirus pulmonary syndrome,
HPV,human papillomavirus,
HR,hazard ratio,
HR,heart rate,
HR,hormone receptor,
HR-NB,high-risk neuroblastoma,
HRCT,high-resolution computed tomography,
HRM,high-resolution manometry,
HRQL,health-related quality of life,
HRR,homologous recombination repair,
HRS,Heart Rhythm Society,
HRT,hormone replacement therapy,
hs,at bedtime (hora somni),
HS,heparan sulfate,
HS,hidradenitis suppurativa,
HS,high-sensitivity,
HS-CRP,high sensitivity C-reactive protein,
HS/AI,hidradenitis suppurativa/acne inversa,
HSAM,Highly Superior Autobiographical Memory,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5488704/
HSAT,home sleep apnea test,
HSC,hematopoietic stem cells,
HSCT,hematopoietic stem cell transplant,
HSDS,height standard deviation score,
HSG,hysterosalpingogram ,
HSK,herpetic stromal keratitis,
HSP,Henoch-Schönlein purpura,
HSP,hereditary spastic paraplegia,
HSPG,Heparan Sulfate Proteoglycan,
HSROC,hierarchical summary receiver operating characteristic,
HST,home sleep test,
HSV,herpes simplex virus,
HSV-2,herpes simplex virus type 2,
HT,Hashimoto thyroiditis,
Ht,height,
HTC,humidified trach collar,
HTG,hypertriglyceridemia,
HTLV,human T-cell lymphotropic virus,
HTN,Hypertension,
HTV,height velocity,
HU,hydroxyurea,
HUD,Humanitarian Use Device,
HUS,hemolytic-uremic syndrome,
HUVEC,human umbilical vein endothelial cell,
HV,hypertensive vasculopathy,
Hx,history,
Hyper-CVAD,"hyperfractionated cyclophosphamide, vincristine, Adriamycin, and dexamethasone",
HZ,Herpes Zoster,
Hz,hertz,
HZO,herpes zoster ophthalmicus,
HZV,Herpes Zoster Virus,
