Abbreviation/Shorthand,Meaning,More Info
TBI,traumatic brain injury,
TBP,tributylphosphine,
TBPK,Tablet Therapy Pack,
TBS,tris buffered saline,
TBSO,Tablet Soluble,
TC,topical corticosteroid,
TCA,tricyclic antidepressant,
TCAD,transplant coronary artery disease,
TCAR,transcarotid artery revascularization,
TCC,Transitional Cell Carcinoma,
TCEP,tris(2-carboxyethyl)phosphine,
TCH,"Taxotere or Taxol, carboplatin, and Herceptin",
TCHP,Taxotere + Carboplatin + Herceptin + Perjeta,
TCI,topical calcineurin inhibitor,
TCI,target-controlled infusion,
tcMEP,transcranial motor-evoked potential,
TCR,T cell receptor,
TCRF,temperature-controlled radiofrequency,
TCS,topical corticosteroid,
TCS,template consensus sequence,
TCT,thinnest corneal thickness,
Tdap,"tetanus, diptheria, and tetanus",
tDCS,transcranial direct current stimulation,
TDF-FTC,tenofovir disoproxil fumarate-emtricitabine,
TDM,therapeutic drug monitoring,
TDPK,Tablet Delayed Release Therapy Pack,
TDR,total disc replacement,
TE,tracheoesophageal,
TEAE,treatment-emergent adverse event,
TED,thyroid eye disease,
TEE,transesophageal echocardiogram,
TEM,Effector memory T,
TEM,Transanal Endoscopic Microsurgery,
TEN,Toxic Epidermal Necrolysis,
TENS,transcutaneous electrical nerve stimulation,
TEP,tumor educated platelet,
TEPK,Tablet Extended Release Therapy Pack,
TERT,telomerase reverse transcriptase,
TF,transoral esophagogastric fundoplication,
TF,tissue factor,
TFA,transfemoral amputee,
TFA,transcervical fibroid ablation,
TFCAS,transfemoral carotid artery stenting,
TFESI,Transforaminal Epidural Steroid Injection,
TFI,transfemoral intervention,
TFNE,transient focal neurological episode,
TfR2,transferrin receptor 2,
TG,topographic genotyping,
TG,triglycerides,
TG,trigeminal ganglion,
TGEV,transmissible gastroenteritis virus,
TGF,transforming growth factor,
TGF-β,transforming growth factor beta,
TGF-β2,transforming growth factor- β2,
TGFBR1,transforming growth factor-beta (TGF-β) receptor type 1,https://medlineplus.gov/genetics/gene/tgfbr1/
TGFβ3,transforming growth factor β3,
TGI,tracheal gas insufflation,
Th2,T helper-2,
THA,total hip arthroplasty,
THBO,Total Hysterectomy and Bilateral Oophorectomy,
THC,tetrahydrocannabinol,
THPK,Therapy Pack,
THR,total hip replacement,
ThuLEP,thulium laser enucleation of the prostate,
TI,terminal ileum,
TI,terminal ileitis,
TIA,transient ischemic attack,
TIBC,total iron-binding capacity,
TID,three times per day,
TIF,transoral incisionless fundoplication,
TIMI,thrombolysis in myocardial infarction,
TIMP,tissue inhibitors of MMP,
TINC,Tincture,
TIPS,transjugular intrahepatic portosystemic shunt,
TIV,tumor in vein,
TIVA,total intravanous anesthesia,
TJKI,topical Janus kinase inhibitor,
TKA,total knee arthroplasty,
TKI,Tyrosine Kinase Inhibitor,
TKO,to keep open,
TKR,total knee replacement,
TKV,total kidney volume,
TLH,total laparoscopic hysterectomy,
TLIF,Transforaminal Lumbar Interbody Fusion,
TLR,target lesion revascularization,
TLR,Toll‐like receptors,
TLSO,thoracic-lumbar-sacral orthotic,
TM,tape measure,
TM,transformed migraine,
TM,tectorial membrane,
TM,tympanic membrane (eardrum),
TM,temporalis muscle,
TMA,transmetatarsal amputation,
tMax,temperature maximum,
TMB,tumor mutational burden,
TMD,temporomandibular disorder,
TMEM43,transmembrane protein 43,
TMJ,temporomandibular joint,
TMN,tuberomammillary nucleus,
TMP-SMX,trimethoprim-sulfamethoxazole,
TMR,Transmyocardial Revascularization,
TMS,transcranial magnetic stimulation,
TMZ,temozolomide,
TN,trigeminal neuralgia,
TN,true negative,
TNAP,tissue-nonspecific alkaline phosphatase,
TNB,trigeminal nerve block,
TNE,transnasal esophagoscopy,
TNF,tumor necrosis factor,
TNF-α,tumor necrosis factor alpha,
TNFi,tumor necrosis factor inhibitor,
TNM,Tumor-Node-Metastasis,
TNSALP,tissue non-specific alkaline phosphatase,
TNTC,too numerous to count,
TOA,tubo-ovarian abscess,
TOF,tetralogy of fallot,
TONIC,treatment of nonalcoholic fatty liver disease in children,
TOPO,topotecan,
TORCH,"Toxoplasmosis, Other (syphilis, varicella-zoster, parvovirus B19), Rubella, Cytomegalovirus (CMV), and Herpes",
TORe,transoral outlet reduction,
TP,Traumatic Pneumothorax,
TP,total protein,
TP,true positive,
TPA,thyroid peroxidase antibody,
tPA,tissue plasminogen activator,
TPA,total parenteral alimentation,
TPE,therapeutic plasma exchange,
TPI,trigger point injection,
TPN,Total Parenteral Nutrition,
TPO,thyroid peroxidase,
TPO,thrombopoietin,
TPO-RA,thrombopoietin receptor agonist,
TPPK,Tablet Disintegrating Therapy Pack,
TPR,"temperature, pulse, respiration",
TPS,treatment planning system,
tPSA,total prostate specific antigen,
TPT,topotecan,
TR,transradial,
TR,tricuspid regurgitation,
TRALI,transfusion-related acute lung injury,
TRAPS,tumor necrosis factor receptor-associated periodic syndrome ,
TRB,T-cell receptor beta,
TRD,treatment-resistant depression,
TRD,tongue retaining device,
Treg,regulatory T cell,
TRESK,TWIK-related spinal cord potassium channel,
TRG,T-cell receptor gamma,
TRI,trans-radial intervention,
TRM,resident memory T,
TRM,tissue-resident memory,
TROC,Troche,
TRP,treatment-related pneumonitis,
TRP,transient receptor potential,
TRS,transcription regulatory sequence,
TRUS,Transrectal Ultrasound,
TS,Turner Syndrome,
TSB,total serum bilirubin,
TSH,thyroid stimulating hormone,
TSP,tropical spastic paraparesis ,
TSS,therapeutic staff support,
TSS-NS,therapeutic staff support non-school,
TSS-S,therapeutic staff support in school,
tSSS,transformed Symptom Severity Score,
TTB,total toxicity burden,
TTE,Transthoracic Echocardiogram,
TTF,tumor treating fields,
TTF1,thyroid transcription factor 1,
TTLP,time to liver progression,
TTP,time to tumor progression,
TTP,tender to palpitation,
TTP,Thrombotic Thrombocytopenic Purpura,
TTP,tissue tolerable plasmas,
TTS,temporary threshold shift,
TTS,through-the-scope,
TTVr,transcatheter tricuspid valve repair,
TUG,Timed Up and Go,
TUIP,Transurethral Incision of the Prostate,
TUMT,Transurethral Microwave Therapy,
TUNA,Transurethral Needle Ablation,
TURBT,Transurethral Resection of Bladder Tumor,
TURP,transurethral resection of prostate gland,
TUVP,Transurethral Vaporization of the Prostate,
TVC,true vocal cord,
TVF,target vessel failure,
TVH,Total Vaginal Hysterectomy,
TViV,transcatheter valve‐in‐valve implantation,
TVP,transvenous pacemaker,
TVR,Tricuspid Valve Replacement,
TVTO,tension free vaginal taping obturator,
TVUS,Transvaginal Ultrasound,
TVV,Tricuspid Valve Valvuloplasty,
TWI,T-wave inversion,
TWOC,trial without a catheter,
TX,Tumor stage - Main tumor cannot be measured,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
Tx,treatment,
TXA,tranexamic acid,
TZD,Thiazolidinediones,
