Abbreviation/Shorthand,Meaning,More Info
BS,blood sugar,
BS,bowel sounds,
BS,breath sounds,
BSA,body surface area,
BSAP,bone specific alkaline phosphatase,
BSC,best supportive care,
BSC,behavioral specialist consultant,
BSO,bilateral salpingo-oophorectomy,
BSSO,Bilateral Sagittal Split Osteotomy,
BT,blood transfusion,
BT,bronchial thermoplasty,
BTA,botulinum toxin A,
BTK,below the knee,
BUN,blood urea nitrogen,
BV,bacterial vaginosis,
BVAB,bacterial vaginosis-associated bacteria,
BVD,bilateral vestibular dysfunction,
BVN,basivertebral nerve,
Bx,biopsy,
C DIFF,Clostridium difficile,
C/B,complicated by,
C/O,complaint of,
c/w,consistent with,
C&S,culture and sensitivity,
C1,first cervical spine vertebra,
C2,second cervical spine vertebra,
C3,third cervical spine vertebra,
C4,fourth cervical spine vertebra,
C5,fifth cervical spine vertebra,
C6,sixth cervical spine vertebra,
C7,seventh cervical spine vertebra,
CA,calcium,
CA,cancer,
CA,chronological age,
CA,catheter ablation,
CA-125,cancer antigen 125,
CA19-9,carbohydrate antigen 19-9,https://en.wikipedia.org/wiki/CA19-9
CAA,cerebral amyloid angiopathy,
CAB,coronary artery bypass,
cAb,core antibody,
CABG,coronary artery bypass graft,
CAC,coronary artery calcium,
CaCO3,calcium carbonate,
CAD,coronary artery disease,
CAD-3,three-vessel coronary artery disease,
CADASIL,cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy,
CAG,coronary angiography,
CAH,chronic active hepatitis,
CAH,congenital adrenal hyperplasia,
cAMP,cyclic adenosine monophosphate,
CAP,community acquired pneumonia,
CAP,Competitive Acquisition Program,
CAP,prostate cancer,
CAP,College of American Pathologists,
CAPS,cryopyrin-associated periodic syndrome ,
CAR,cancer-associated retinopathy,
CAR-T,chimeric antigen receptor T-cell,
CARS,Childhood Autism Rating Scale,
CASL-2,"Comprehensive Assessment of Spoken Language, Second Edition",
CAT,computerized axial tomography,
CAV,cardiac allograft vasculopathy,
CB,Concha bullosa,
CB,compression bandaging,
CBC,complete blood count,
CBCT,cone beam CT,
CBD,Common Bile Duct,
CBD,cannabidiol,
CBF,cerebral blood flow,
CBI,Catheter Based Intervention,
CBI,continuous bladder irrigation,
CBT,cognitive behavioral therapy,
CBT-I,cognitive behavioral therapy for insomnia,
CC,chief complaint,
cc,cubic centimeter,
CCA,C. difficile cytotoxicity assay,
CCC,complete concentric collapse,
CCJ,craniocervical junction,
CCK,cholecystokinin,
CCl4,carbon tetrachloride,
CCM,cerebral cavernous malformation,
CCP,cardiac catheterization procedure,
CCPDMA,complete circumferential peripheral and deep margin assessment,
CCR7,C-C chemokine receptor type 7,
CCRCC,clear cell renal cell carcinoma,
CCRT,concurrent chemoradiotherapy,
CCS grade,Canadian Cardiovascular Society grade,
CCTA,coronary computed tomography angiography,
CD,Crohn's disease,
CD20,cluster of differentiation 20,
CD4,cluster of differentiation 4,
CDAI,Crohn's disease activity index,
CDC,Centers for Disease Control and Prevention,
CDDP,cisplatin,
CDEIS,Crohn’s disease index of severity,
CDH,congenital diaphragmatic hernia,
CDH,chronic daily headache,
CDHIS,Crohn's Disease Histological Index of Severity,
CDI,Clostridium difficile infection,
CDK,cyclin-dependent kinase,
CDMR,Cesarean Delivery at Maternal Request,
cDNA,complementary DNA,
cDNA-AFLP,cDNA-amplified restriction fragment–length polymorphism,
CDP,contractile deceleration point,
CDPAS,consumer directed personal assistance services,
CDR,complimentary-determining region,
CDT,carbohydrate‐deficient transferrin,
CDT,complete decongestive therapy,
CDVA,corrected distance visual acuity,
ce-CMR,contrast-enhanced cardiac magnetic resonance,
CEA,carcinoembryonic antigen,https://en.wikipedia.org/wiki/Carcinoembryonic_antigen
CEA,Carotid Endarterectomy,
CED,Cervical Endoscopic Discectomy,
CED,Coverage with Evidence Development,
CEUS,contrast-enhanced ultrasound,
CF,citrate-free,
CF,cystic fibrosis,
CFA,Common Femoral Artery,
CFC,cardio-facio-cutaneous syndrome,
CFCS,Communication Function Classification System,
cfDNA,cell-free DNA,
CFRD,Cystic Fibrosis Related Diabetes,
CFTR,cystic fibrosis transmembrane conductance regulator,
CFU,colony forming unit,
CFV,contractile front velocity,
CG,compression garment,
CGH,comparative genomic hybridization,
CGM,continuous glucose monitoring,
cGMP,cyclic guanosine monophosphate,
CGMS,continuous glucose monitoring system,
CGP,comprehensive genomic profiling,
CGRP,calcitonin gene-related peptide,https://en.wikipedia.org/wiki/Calcitonin_gene-related_peptide
cGy,centigray,
CHA2DS2-VASc,"congestive heart failure, hypertension, age ≥ 75, diabetes mellitus, prior stroke or TIA or thromboembolism, vascular disease, age 65-74, sex category",
CHD,congenital heart disease,
CHEK2,checkpoint kinase 2,"https://www.ncbi.nlm.nih.gov/gene/11200#:~:text=Mutations%20in%20the%20CHEK2%20gene%2C%20including%20the%201100delC,affecting%20many%20of%20the%20body%27s%20organs%20and%20tissues."
chEVAR,chimney endovascular aneurysm repair,
CHF,congestive heart failure,
CHG,chlorhexidine-gluconate,
CHI,closed head injury,
CHIKV,chikungunya virus,
China CDC,Chinese Center for Disease Control and Prevention,
CHL,Conductive Hearing Loss,
CHRD,cysteine–histidine rich domain,
CI,Cochlear Implant,
CI,confidence interval,
CIA,Common Iliac Artery,
CIC,clean intermittent catheterization,
CIC,chronic idiopathic constipation,
CID,compromised immune disorder,
CIDP,Chronic Inflammatory Demyelinating Polyneuropathy,
CIDT,culture-independent diagnostic test,
CIM,critical illness myopathy,
CIN,cervical intraepithelial neoplasia,
CIN,Contrast Induced Nephropathy,
CIS,carcinoma in situ,
CIWA,Clinical Institute Withdrawal Assessment,
CK,creatine kinase,
CK18,Cytokeratin 18 Fragments,
CKD,chronic kidney disease,
CKI,cyclin-dependent kinase inhibitor,
CKIδ,casein kinase 1 delta,
CKMB,creatine kinase isoenzyme MB,
Cl,chloride,
CLBP,chronic low back pain,
CLIA,Clinical Laboratory Improvement Amendments,
CLL,chronic lymphocytic leukemia,
CLND,complete lymph node dissection ,
CM,cardiomegaly,
CM,cardiomyopathy,
CM,cell membrane,
CM,Chiari malformation,
CM,chronic migraine,
CM-AVM,capillary malformation–ateriovenous malformation syndrome,
CM-AVM,chromosomal microarray analysis,
CMAP,compound muscle action potential,
CMB,cerebral microbleed,
cmH2O,centimeters of water,
CML,chronic myeloid leukemia,
CMP,cardiomyopathy,
CMP,comprehensive metabolic panel,
CMPA,cow’s milk protein allergy,
CMR,cardiac magnetic resonance,
CMS,Centers for Medicare & Medicaid Services,
CMT,cervical motion tenderness,
CMT,Charcot-Marie-Tooth,
CMV,continuous mandatory ventilation,
CMV,cytomegalovirus,
CN,cranial nerve,
CN,cytogenetically normal,
CN12,hypoglossal nerve,
CNA,copy number alteration,
CNS,central nervous system,
CNT,carbon nanotube,
CNV,choroidal neovascularization,
CNV,copy number variant,
CO,carbon monoxide,
CO,cardiac output,
CO2,carbon dioxide,
COC,certificate of coverage,
COLD,chronic obstructive lung disease,
COM,Chronic Otitis Media,
COME,Chronic Otitis Media With Effusion,
COMT,catechol-O-methyltransferase,
COOG,Collaborative Ocular Oncology Group,
COP,condylar process,
COPD,chronic obstructive pulmonary disease,
COS,controlled ovarian stimulation,
CoV,Coronavirus,
COVID-19,Coronavirus disease 2019,
COWS,clinical opiate withdrawal scale,
COX-2,cyclooxygenase 2 inhibitors,
CP,chest pain,
CP,cerebral palsy,
CP,cleft palate,
CPA,cerebellopontine angle,
CPAP,continuous positive airway pressure,
CPE,cytopathic effect,
CPG,Clinical Practice Guideline,
CPHSS,Cincinnati Prehospital Stroke Scale,
CPK,creatine phosphokinase,
CPK-MB,creatine phosphokinase muscle bandisoenzyme,
CPM,continuous passive motion,
CPNB,continuous peripheral nerve block,
CPP,cerebral perfusion pressure,
CPP,central precocious puberty,
CPP,chronic pelvic pain,
CPR,cardiopulmonary resuscitation,
CPS,child protective services,
CPT,Child‐Pugh‐Turcotte,
CPT,Current Procedural Terminology,
CPT,chest physiotherapy,
CPT-1,Carnitine Palmitoyltransferase 1,
CPT1A,carnitine palmitoyl transferase 1A,
CR,clinical response,
CR,complete response,
Cr,Creatinine,
CRBBB,complete right bundle branch block,
CrCl,Creatinine Clearance,
CREB,cAMP response element-binding protein,
CREBBP,CREB binding protein,
CRF,chronic renal failure,
CRISA,catheterization risk in adult patients,
CRISPR,clustered regularly interspaced short palindromic repeats,https://en.wikipedia.org/wiki/CRISPR
CRM,cardiac rhythm management,
CRP,C-reactive protein,
CRPS,complex regional pain syndrome,
CRRT,continuous renal replacement therapy,
CRS,chronic rhinosinusitis,
CRSsNP,chronic rhinosinusitis without nasal polyps,
CRST,Clinical Rating Scale for Tremor,
CRSwNP,chronic rhinosinusitis with nasal polyps,
CRT,conformal radiation therapy,
CRT,cardiac resynchronization therapy,
CS,Costello syndrome,
CS-IMRT,carotid-sparing intensity-modulated radiotherapy,
CSD,cortical spreading depression,
CSF,cerebrospinal fluid,
CSI,corticosteroid injection,
CSM,corrugated supercilii muscle,
cSNP,coding single-nucleotide polymorphism,
CSS,cancer-specific survival,
CT,computed tomography,
CTA,clear to auscultation,
CTA,Computed Tomographic Angiography,
CTC,circulating tumor cell,
ctDNA,circulating tumour DNA,
CTG,cardiotocography,
CTI,cavotricuspid isthmus,
CTO,coronary total occlusion,
CTO,chronic total occlusion,
CTPA,CT pulmonary angiography,
CTR,chest tube removal,
CTS,carpal tunnel syndrome,
CTV,clinical target volume,
CTV,CT venogram,
CTX,corticosteroids,
CURB-65,"confusion, BUN, respiration rate, BP, Age 65+",
CV,cardiovascular,
CVA,cerebrovascular accident,
CVA,costovertebral angle,
CVAT,costovertebral angle tenderness,
CVC,central venous catheter,
CVICU,Cardiovascular Intensive Care Unit,
CVID,common variable immunodeficiency,
CVP,central venous pressure,
CVS,cardiovascular system,
CVS,chorionic villus sampling,
Cx,culture,
CXL,collagen crosslinking,
CXR,chest x-ray,
CYP,cytochrome P450,
CYS,Child & Youth Services,
CZP,certolizumab pegol,
D,diopter,
D/C,discharge,
d/c,discontinue,
D/W,dextrose in water,
D&C,dilatation & curettage,
DAA,direct-acting antiviral,
DAC,dose-adjustment coefficient,
DAD,diffuse alveolar damage,
DAO,diamine oxidase,
DAOM,depressor anguli oris muscle,
DAPT,dual antiplatelet therapy,
DAS-II,"Differential Ability Scale, Second Edition",
DASH,"Disabilities of the Arm, Shoulder and Hand",
dB,decibel,
DBP,diastolic blood pressure,
DBS,deep brain stimulation,
DBT,dialectical behavior therapy,
DCB,drug-coated balloon,
DCI,distal contractile integral,
DCIS,ductal carcinoma in situ,
DCM,dilated cardiomyopathy,
DDD,degenerative disc disease,
DDI,drug to drug interaction,
DDX,differential diagnosis,
DE,donor egg,
DEB,diepoxybutane,
DED,dry eye disease,
DES,drug-eluting stent,
DEXA,dual-energy x-ray absorption,
DFE,dilated fundus examination,
DFS,disease-free survival,
DFV,Doppler flow velocimetry,
DGE,Delayed Gastric Emptying,
DGL,deglycyrrhizinated licorice,
DHA,docosahexaenoic acid,
DHE,dihydroergotamine,
DHEA,dehydroepiandrosterone,
DHT,dihydrotestosterone,
DI,diabetes insipidus,
DIC,disseminated intravascular coagulation,
DIEP,deep inferior epigastric artery perforator,
DILI,drug-induced liver injury,
DIPG,diffuse intrinsic pontine glioma,
DISE,drug-induced sleep endoscopy,
DISIDA,cholescintigraphy,
DJD,degenerative joint disease,
DKA,diabetic ketoacidosis,
DL,Direct Laryngoscopy,
DL,distal latency,
DL,dyslipidemia,
dL,deciliter,
dL,deciliter,
DLCT,dual-layer CT,
DLGNT,diffuse leptomeningeal glioneuronal tumor,
DLIM,depressor labii inferioris muscle,
DLT,decongestive lymphatic therapy,
DM,deep masseter,
DM,dermatomyositis,
DM,diabetes mellitus,
DMA,druggable molecular alteration,
DMARD,disease-modifying antirheumatic drug,
DMD,Duchenne muscular dystrophy,
DMDD,disruptive mood dysregulated disorder,
DMEM,Dulbecco’s modified Eagle’s medium,
DMR,differentially methylated region,
DMSO,dimethyl sulfoxide,
DMT,disease-modifying therapy,
DNA,deoxyribonucleic acid,
DNI,do not intubate,
DNR,do not resuscitate,
DNS,Deviated Nasal Septum,
DOAC,directly acting oral anticoagulants,
DOB,date of birth,
DOC,deoxycorticosterone,
DOE,dyspnea on exertion,
DOS,date of service,
DOT,directly observed therapy,
DP,Dorsalis pedis,
DP,double prong,
dPCR,digital polymerase chain reaction,
DPD,dihydropyrimidine dehydrogenase,
DPP4,Dipeptidyl Peptidase-4,
DQ,developmental quotient,
DRE,digital rectal exam,
DRESS,drug reaction with eosinophilia and systemic symptoms,
DRG,dorsal root ganglion,
DRG,diagnosis-related group,
DS,Down syndrome,
DS,duodenal switch,
DSA,Digital Subtraction Angiography,
DSA,donor-specific antibodies,
DSB,double-strand break,
DSD,dynamic stabilization device,
dsDNA,double-stranded DNA,
DSM,Diagnostic and Statistical Manual of Mental Disorders,
DSWI,deep sternal wound infection,
DT,delirium tremens,
dTMS,Deep Transcranial Magnetic Stimulation,
DTP,"diphtheria, tetanus, pertussis",
DTR,deep tendon reflexes,
DUS,Duplex Ultrasonography,
DVIU,Direct Visual Internal Urethrotomy,
DVR,Double Valve Replacement,
DVS,double-V scrotoplasty,
DVT,deep venous thrombosis,
Dx,diagnosis,
DZ,disease,
