Abbreviation/Shorthand,Meaning,More Info
RRT,renal replacement therapy,
rRT-PCR,real-time reverse transcriptase polymerase chain reaction,
RSBQ,Rett Syndrome Behaviour Questionnaire,
RSD,reflex sympathetic dystrophy,
RSPI,repeated supratherapeutic paracetamol ingestion,
RST,renal support therapy,
RSV,respiratory syncytial virus,
RT,radiation therapy,
RT,respiration therapy,
RT,resistance training,
RT-PCR,reverse transcription polymerase chain reaction,
RT-PCR,real time polymerase chain reaction,
RTA,renal tubular acidosis,
RTC,replicase-transcriptase complex,
RTK,receptor tyrosine kinase,
rTMS,repetitive transcranial magnetic stimulation,
RTOG,Radiation Therapy Oncology Group,
RTP,repetitive task practice,
RTT,Rett syndrome,
RUE,right upper extremity,
RUL,right upper lobe,
RUQ,right upper quadrant,
rUTI,recurrent urinary tract infection,
RUX,ruxolitinib,
RV,right ventricle,
RVE,right ventricular enlargement,
RVFWS,RV free wall longitudinal systolic strain,
RVP,respiratory viral panel,
RVR,rapid ventricular response,
RVSP,right ventricular systolic pressure,
RW,rolling walker,
RWMA,regional wall motion abnormality,
RWT,Robotic Waterjet Treatment,
RYGB,Roux-en-Y gastric bypass,
RYR2,ryanodine receptor-2,
