Abbreviation/Shorthand,Meaning,More Info
HGB,hemoglobin,
HGF,hepatocyte growth factor,
HH,hiatal hernia,
HHA,home health aide,
HHS,Hyperglycemic Hyperosmolar Syndrome,
HI,homicidal ideation,
HIDA,hepatobiliary iminodiacetic acid scan,
HIE,hypoxic-ischemic encephalopathy,
HIF-1,hypoxic inducible factor-1,
HIFU,High Intensity Focused Ultrasound,
HIPAA,Health Insurance Portability and Accountability Act,
HIPEC,Hyperthermic Intraperitoneal Chemotherapy,
HIS,histidine,
HIT-6,Headache Impact Test,
HIV,human immunodeficiency virus,
HK,Horseshoe Kidney,
hK2,human kallikrein 2,
HL,hearing loss,
HL/S,high ligation and stripping,
HLA,human leukocyte antibody,
HLA-B27,human leukocyte antigen B27,
HLD,Handicapping Labio-Lingual Deviation,
HLD,hyperlipidemia,
HLP,hyperlipidemia,
HLS,high ligation and stripping,
HM,Heineke-Mikulicz,
HM,Heller myotomy ,
HM,hemiplegic migraine,
HM3,HeartMate 3,
HME,home medical equipment,
HMG-CoA,hydroxymethyl glutaryl coenzyme A,
HMGB1,high mobility group box 1,
HMN,hypoglossal motor nucleus,
HNMT,histamine N-methyltransferase,
HNP,Herniated Nucleus Pulposus,
HNS,hypoglossal nerve stimulation,
HNSCC,head and neck squamous cell carcinoma,
HOCM,Hypertrophic Obstructive Cardiomyopathy,
HOH,hard of hearing,
HoLEP,holmium laser enucleation of the prostate,
HOMA,Homeostatic Model Assessment,
HOMA-IR,homeostatic model assessment of insulin resistance,
HP,Hypopharynx,
HPA,hypothalamic-pituitary-adrenal,
HPI,history of present illness,
HPL,human placental lactogen,
HPL,hyperlipidemia,
HPS,Hantavirus pulmonary syndrome,
HPV,human papillomavirus,
HR,hazard ratio,
HR,heart rate,
HR,hormone receptor,
HRM,high-resolution manometry,
HRQL,health-related quality of life,
HRR,homologous recombination repair,
HRS,Heart Rhythm Society,
HRT,hormone replacement therapy,
hs,at bedtime,
HS,heparan sulfate,
HS,hidradenitis suppurativa,
HS,high-sensitivity,
HS-CRP,high sensitivity C-reactive protein,
HSAT,home sleep apnea test,
HSC,hematopoietic stem cells,
HSCT,hematopoietic stem cell transplant,
HSDS,height standard deviation score,
HSK,herpetic stromal keratitis,
HSP,Henoch-Schönlein purpura,
HSP,hereditary spastic paraplegia,
HSPG,Heparan Sulfate Proteoglycan,
HSROC,hierarchical summary receiver operating characteristic,
HST,home sleep test,
HSV,herpes simplex virus,
Ht,height,
HTC,humidified trach collar,
HTG,hypertriglyceridemia,
HTLV,human T-cell lymphotropic virus,
HTN,Hypertension,
HTV,height velocity,
HU,hydroxyurea,
HUD,Humanitarian Use Device,
HUS,hemolytic-uremic syndrome,
HUVEC,human umbilical vein endothelial cell,
HV,hypertensive vasculopathy,
Hx,history,
Hz,hertz,
HZO,herpes zoster ophthalmicus,
HZV,Herpes Zoster Virus,
I-IBTR,invase ipsilateral breast tumor recurrence,
i-TIMI,initial-thrombolysis in myocardial infarction,
I&D,incision and drainage,
I&D,irrigation and debridement,
I&O,intake and output,
IA,imidazole acetaldehyde,
IA,intra-articular,
IAA,Iliac Artery Aneurysm,
IAA,imidazole acetic acid,
IAAR,imidazole acetic acid riboside,
IABP,intra-aortic balloon pump,
IAC,Internal Auditory Canal,
IAD,incontinence-associated dermatitis,
IADL,instrumental activities of daily living,
IAH,Intra-abdominal Hypertension,
IAHA,intra-articular hyaluronic acid,
IAP,intra-abdominal pressure,
IAPN,intra-ampullary papillary-tubular neoplasm,
IBC,invasive breast cancer,
IBD,identity by descent,
IBD,inflammatory bowel disease,
IBE,ipsilateral breast event,
IBM,inclusion body myositis,
IBS,irritable bowel syndrome,
IBS,constipation-predominant irritable bowel syndrome,
IBS-D,Irritable Bowel Syndrome with Diarrhea,
IBTR,ipsilateral breast tumor recurrence,
IBW,ideal body weight,
ICAM-1,Intercellular Adhesion Molecule 1,
ICC,immunocytochemistry,
ICCA,infantile convulsions and choreoarthetosis,
ICD,implantable cardioverter defibrillator,
ICD,International Classification of Diseases,https://www.cdc.gov/nchs/icd/index.htm
ICF,intracellular fluid,
ICH,Intracerebral Hemorrhage,
ICH,intracranial hemorrhage,
ICH,intracranial hypertension,
ICL,interstrand crosslinks,
ICM,ischemic cardiomyopathy,
ICP,intracranial pressure,
ICP,Intracranial Pressure,
ICPP,idiopathic central precocious puberty,
ICR,insulin-to-carbohydrate ratio,
ICS,inhaled corticosteroids,
ICS,International Continence Society,
ICSI,intracytoplasmic sperm injection,
ICU,intensive care unit,
ID,infectious disease(s),
IDA,iron deficiency anemia,
IDDM,insulin-dependent diabetes mellitus,
IDDS,intrathecal drug delivery system,
IDE,Investigational Device Exemption,
IDH1,isocitrate dehydrogenase 1,
IDH2,isocitrate dehydrogenase 2,
IDP,intrinsically disordered protein,
IDSA,Infectious Diseases Society of America,
IDU,intravenous drug use,
IED,intermittent explosive disorder,
IEP,Individualized Education Program,
IFA,immunofluorescent assay,
IFC,interferential current,
IFIS,Intraoperative Floppy Iris Syndrome,
IFITM,interferon-induced transmembrane,
IFN,interferon,
IFU,Instructions For Use,
IFX,infliximab,
Ig,immunoglobulin,
IgA,Immunoglobulin A,
IGA,Investigator's Global Assessment,
IgD,immunoglobulin D,
IgE,immunoglobulin E,
IGF-1,insulin-like growth factor 1,
IGF-IR,insulin-like growth factor I receptor,
IGFBP3,insulin-like growth factor binding protein 3,
IgG,immunoglobulin G,
IgG1,immunoglobulin G subclass 1,
IgG2,immunoglobulin G subclass 2,
IgG3,immunoglobulin G subclass 3,
IgG4,immunoglobulin G subclass 4,
IGHD,isolated ggrowth hormone deficiency,
IgM,immunoglobulin M,
IGR-SRS,image-guided robotic stereotactic radiosurgery,
IGR-SRS,image-guided robotic stereotactic radiosurgery ,
IGRA,interferon-gamma release assay,
IGRT,image guided radiation therapy,
IH,idiopathic hypersomnia,
IH,Inguinal Hernia,
IHC,immunohistochemistry,
IHC,inner hair cell,
IHF,intrahepatic fat,
IHSS,Idiopathic Hypersomnia Severity Scale,
IIA,Internal Iliac Artery,
IIH,idiopathic intracranial hypertension,
IKDC,International Knee Documentation Committee,
IL-13,Interleukin 13,
IL-17,Interleukin-17,
IL-4,Interleukin 4,
IL-4Ra,interleukin 4 receptor,
IL-5,Interleukin 5,
ILD,interstitial lung disease,
ILESI,interlaminar epidural steroid injections,
ILI,influenza-like illness,
ILK,intralesional Kenalog,
ILR,implantable loop recorder,
IM,intramuscular,
IMA,inferior mesenteric artery,
IMA,Internal Mammary Artery,
IMA,ischemia-modified albumin,
IMH,Intramural Haematoma,
IMM,immunomodulator,
IMN,internal mammary node,
IMPT,Intensity-Modulated Proton Beam Therapy,
IMRT,intensity-modulated radiation therapy,
IMS,Intra‐Metatarsal Space,
IMU,inertial motion unit,
IN,intranasal,
indel,insertion-deletion,
InflAAA,Inflammatory Abdominal Aortic Aneurysm,
INH,Isoniazid,
iNKT,invariant natural killer T,
INPH,idiopathic normal pressure hydrocephalus,
INR,international normalized ratio,
IOC,Intraoperative Cholangiogram,
IOL,Intraocular Lens,
IOM,intraoperative monitoring,
IONM,Intraoperative Neurophysiological Monitoring,
IOP,Intensive Outpatient Program,
IOP,intraocular pressure,
IORT,intraoperative radiation therapy,
IP,interphalangeal,
IPA,isopropyl alcohol,
IPAA,ileal pouch-anal anastomosis,
IPAH,idiopathic pulmonary arterial hypertension,
IPC,inner pillar cell,
IPC,intermittent pneumatic compression,
IPF,idiopathic pulmonary fibrosis,
IPG,implanted pulse generator,
IPJ,Intra‐Phalangeal Joint,
IPMN,intraductal papillary mucinous neoplasm,
IPPB,intermittent positive pressure breathing,
iPSA,intact prostate specific antigen,
iPSC,induced pluripotent stem cell,
IPSET-Thrombosis,International Prognostic Score of Thrombosis for ET,
IPSS,International Prostate Symptom Score,
IR,immediate release,
IR,implantation rate,
IR,internal rotation,
IR,interventional radiology,
IRB,institutional review board,
IRBBB,incomplete right bundle branch block,
IRF,inpatient rehabilitation facility,
IRMA,immunoradiometric assay,
IRP,Integrated Relaxation Pressure,
IS,infarct size,
IS,insulin sensitivity,
ISC,Inpatient & Surgical Care guidelines,
ISF,Insulin Sensitivity Factor,
ISG,interferon-stimulated gene,
ISIB,intrasphincteric injection of Botox,
ISR,in-stent restenosis,
ISRT,involved site radiation therapy,
ISS,idiopathic short stature,
ISS,Interspinous Spacer,
ISSNHL,idiopathic sudden sensorineural hearing loss,
IT,iliotibial,
IT,intrathecal,
IT,intratympanic,
IT,time from symptom onset to coronary intervention,
ITB,iliotibial band,
ITB,intrathecal baclofen,
ITI,Inner to Inner,
ITP,immune thrombocytopenic purpura,
ITP,immune-mediated thrombocytopenia,
ITP,intrathecal pump,
ITR,Inferior Turbinate Reduction,
ITT,Intent-to-Treat,
ITT,intrathecal therapy,
ITU,intensive therapy unit,
IU,international units,
IUD,intrauterine device,
IUGR,intrauterine growth restriction,
IUP,intrauterine pregnancy,
IUPC,intrauterine pressure catheter,
IUUS,intrauterine ultrasound,
IV,intravenous,
IVC,inferior vena cava,
IVD,intervertebral disc,
IVDA,Intravenous Drug Abuse,
IVDU,intravenous drug use,
IVF,In Vitro Fertilization,
IVF,intravenous fluids,
IVIG,intravenous immunoglobulin,
IVPB,intravenous piggyback,
IVRO,intraoral vertical ramus osteotomy,
IVU,intravenous urography,
IVUS,intravascular ultrasound,
