Abbreviation/Shorthand,Meaning,More Info
HK,Horseshoe Kidney,
hK2,human kallikrein 2,
HL,hearing loss,
HLA,human leukocyte antibody,
HLA-B27,human leukocyte antigen B27,
HLD,hyperlipidemia,
HLD,Handicapping Labio-Lingual Deviation,
HLP,hyperlipidemia,
HM,hemiplegic migraine,
HM,Heineke-Mikulicz,
HM,Heller myotomy ,
HME,home medical equipment,
HMG-CoA,hydroxymethyl glutaryl coenzyme A,
HMGB1,high mobility group box 1,
HNMT,histamine N-methyltransferase,
HNP,Herniated Nucleus Pulposus,
HNS,hypoglossal nerve stimulation,
HOCM,Hypertrophic Obstructive Cardiomyopathy,
HOMA,Homeostatic Model Assessment,
HOMA-IR,homeostatic model assessment of insulin resistance,
HP,Hypopharynx,
HPA,hypothalamic-pituitary-adrenal,
HPI,history of present illness,
HPS,Hantavirus pulmonary syndrome,
HPV,human papillomavirus,
HR,hazard ratio,
HR,hormone receptor,
HR,heart rate,
HRM,high-resolution manometry,
HRQL,health-related quality of life,
HRT,hormone replacement therapy,
HS,high-sensitivity,
hs,at bedtime,
HS,heparan sulfate,
HS,hidradenitis suppurativa,
HS-CRP,high sensitivity C-reactive protein,
HSAT,home sleep apnea test,
HSC,hematopoietic stem cells,
HSCT,hematopoietic stem cell transplant,
HSP,Henoch-Schönlein purpura,
HSP,hereditary spastic paraplegia,
HSPG,Heparan Sulfate Proteoglycan,
HSROC,hierarchical summary receiver operating characteristic,
HSV,herpes simplex virus,
Ht,height,
HTC,humidified trach collar,
HTG,hypertriglyceridemia,
HTN,Hypertension,
HTV,height velocity,
HU,hydroxyurea,
HUD,Humanitarian Use Device,
HUS,hemolytic-uremic syndrome,
HV,hypertensive vasculopathy,
Hx,history,
Hz,hertz,
HZV,Herpes Zoster Virus,
i-TIMI,initial-thrombolysis in myocardial infarction,
I&D,incision and drainage,
I&D,irrigation and debridement,
I&O,intake and output,
IA,intra-articular,
IA,imidazole acetaldehyde,
IAA,Iliac Artery Aneurysm,
IAA,imidazole acetic acid,
IAAR,imidazole acetic acid riboside,
IABP,intra-aortic balloon pump,
IAC,Internal Auditory Canal,
IAD,incontinence-associated dermatitis,
IADL,instrumental activities of daily living,
IAH,Intra-abdominal Hypertension,
IAHA,intra-articular hyaluronic acid,
IAP,intra-abdominal pressure,
IBD,identity by descent,
IBD,inflammatory bowel disease,
IBM,inclusion body myositis,
IBS,irritable bowel syndrome,
IBS-C,constipation-predominant irritable bowel syndrome,
IBS-D,Irritable Bowel Syndrome with Diarrhea,
IBW,ideal body weight,
ICCA,infantile convulsions and choreoarthetosis,
ICD,International Classification of Diseases,https://www.cdc.gov/nchs/icd/index.htm
ICD,implantable cardioverter defibrillator,
ICF,intracellular fluid,
ICH,Intracerebral Hemorrhage,
ICH,intracranial hypertension,
ICH,intracranial hemorrhage,
ICL,interstrand crosslinks,
ICM,ischemic cardiomyopathy,
ICP,intracranial pressure,
ICP,Intracranial Pressure,
ICPP,idiopathic central precocious puberty,
ICR,insulin-to-carbohydrate ratio,
ICS,International Continence Society,
ICS,inhaled corticosteroids,
ICSI,intracytoplasmic sperm injection,
ICU,intensive care unit,
ID,infectious disease(s),
IDDM,insulin-dependent diabetes mellitus,
IDE,Investigational Device Exemption,
IDP,intrinsically disordered protein,
IDSA,Infectious Diseases Society of America,
IDU,intravenous drug use,
IED,intermittent explosive disorder,
IFA,immunofluorescent assay,
IFITM,interferon-induced transmembrane,
IFN,interferon,
IFU,Instructions For Use,
IFX,infliximab,
Ig,immunoglobulin,
IgA,Immunoglobulin A,
IGA,Investigator's Global Assessment,
IgD,immunoglobulin D,
IgE,immunoglobulin E,
IGF-1,insulin-like growth factor 1,
IGFBP3,insulin-like growth factor binding protein 3,
IgG,immunoglobulin G,
IgG1,immunoglobulin G subclass 1,
IgG2,immunoglobulin G subclass 2,
IgG3,immunoglobulin G subclass 3,
IgG4,immunoglobulin G subclass 4,
IgM,immunoglobulin M,
IGR-SRS,image-guided robotic stereotactic radiosurgery ,
IGR-SRS,image-guided robotic stereotactic radiosurgery,
IGRA,interferon-gamma release assay,
IGRT,image guided radiation therapy,
IH,idiopathic hypersomnia,
IH,Inguinal Hernia,
IHC,immunohistochemistry,
IHC,inner hair cell,
IHF,intrahepatic fat,
IHSS,Idiopathic Hypersomnia Severity Scale,
IIA,Internal Iliac Artery,
IIH,idiopathic intracranial hypertension,
IKDC,International Knee Documentation Committee,
IL-13,Interleukin 13,
IL-17,Interleukin-17,
IL-4,Interleukin 4,
IL-4Ra,interleukin 4 receptor,
IL-5,Interleukin 5,
ILD,interstitial lung disease,
ILK,intralesional Kenalog,
ILR,implantable loop recorder,
IM,intramuscular,
IMA,ischemia-modified albumin,
IMA,inferior mesenteric artery,
IMA,Internal Mammary Artery,
IMH,Intramural Haematoma,
IMM,immunomodulator,
IMN,internal mammary node,
IMPT,Intensity-Modulated Proton Beam Therapy,
IMRT,intensity-modulated radiation therapy,
IMS,Intra‐Metatarsal Space,
IN,intranasal,
indel,insertion-deletion,
InflAAA,Inflammatory Abdominal Aortic Aneurysm,
INH,Isoniazid,
iNKT,invariant natural killer T,
INPH,idiopathic normal pressure hydrocephalus,
INR,international normalized ratio,
IOC,Intraoperative Cholangiogram,
IOL,Intraocular Lens,
IOM,intraoperative monitoring,
IONM,Intraoperative Neurophysiological Monitoring,
IOP,Intensive Outpatient Program,
IOP,intraocular pressure,
IP,interphalangeal,
IPA,isopropyl alcohol,
IPAH,idiopathic pulmonary arterial hypertension,
IPC,inner pillar cell,
IPC,intermittent pneumatic compression,
IPF,idiopathic pulmonary fibrosis,
IPG,implanted pulse generator,
IPJ,Intra‐Phalangeal Joint,
IPPB,intermittent positive pressure breathing,
iPSA,intact prostate specific antigen,
iPSC,induced pluripotent stem cell,
IPSET-Thrombosis,International Prognostic Score of Thrombosis for ET,
IPSS,International Prostate Symptom Score,
IR,internal rotation,
IR,interventional radiology,
IR,immediate release,
IR,implantation rate,
IRB,institutional review board,
IRMA,immunoradiometric assay,
IRP,Integrated Relaxation Pressure,
IS,insulin sensitivity,
IS,infarct size,
ISC,Inpatient & Surgical Care guidelines,
ISF,Insulin Sensitivity Factor,
ISG,interferon-stimulated gene,
ISIB,intrasphincteric injection of Botox,
ISR,in-stent restenosis,
ISRT,involved site radiation therapy,
ISS,idiopathic short stature,
ISS,Interspinous Spacer,
ISSNHL,idiopathic sudden sensorineural hearing loss,
IT,iliotibial,
IT,time from symptom onset to coronary intervention,
IT,intratympanic,
ITB,intrathecal baclofen,
ITB,iliotibial band,
ITI,Inner to Inner,
ITP,immune thrombocytopenic purpura,
ITP,immune-mediated thrombocytopenia,
ITR,Inferior Turbinate Reduction,
ITT,Intent-to-Treat,
ITU,intensive therapy unit,
IU,international units,
IUD,intrauterine device,
IUGR,intrauterine growth restriction,
IUP,intrauterine pregnancy,
IUPC,intrauterine pressure catheter,
IV,intravenous,
IVC,inferior vena cava,
IVD,intervertebral disc,
IVDA,Intravenous Drug Abuse,
IVDU,intravenous drug use,
IVF,intravenous fluids,
IVF,In Vitro Fertilization,
IVIG,intravenous immunoglobulin,
IVU,intravenous urography,
IVUS,intravascular ultrasound,
JAK,janus kinase,
JAK-STAT,"janus kinase, signal transducer and activator of transcription protein",
JAKi,JAK inhibitor,
JBJS,The Journal of Bone & Joint Surgery,
JF,jowl fat,
JIA,juvenile idiopathic arthritis,
JNA,Juvenile nasopharyngeal angiofibroma,
JP,Jackson Pratt,
JRA,juvenile rheumatoid arthritis,
JRAAA,Juxtarenal Abdominal Aortic Aneurysm,
K,keratometry,
K,potassium,
K,thousand,
KAX,"ketamine, acepromazine, and xylazine",
KCH,King’s College Hospital,
KCL,potassium chloride,
kg,kilogram,
Kmax,maximum simulated keratometry value,
KUB,"kidney, ureter, bladder (x-ray)",
L,left,
L&D,labor and delivery,
L1,first lumbar spine vertebra,
L2,second lumbar spine vertebra,
L3,third lumbar spine vertebra,
L4,fourth lumbar spine vertebra,
L5,fifth lumbar spine vertebra,
LA,left atrium,
LA,leukoaraiosis,
LA classification,Los Angeles Classification of Gastroesophageal Reflux Disease,https://www.sciencedirect.com/science/article/pii/S2212097113700463
LAA ,left atrial appendage,
LAAC,left atrial appendage closure,
LAAEV,left atrium appendage emptying velocity,
LAAO,left atrial appendage occlusion,
LAAT,left atrial appendage thrombus,
LABA,long-acting b2-agonist,
LABD,linear IgA bullous dermatosis ,
LAD,linear IgA dermatosis,
LAD,left anterior descending artery,
LAD,lymphadenopathy,
LAER,late auditory evoked response,
LAFB,left anterior fascicular block,
LAHB,left anterior hemiblock,
LAMA,long-acting muscarinic antagonist,
LASIK,laser-assisted in situ keratomileusis,
LAT,large neutral amino acid transporter,
LAVH,Laparoscopic Assisted Vaginal Hysterectomy,
LAVI,left atrium volume index,
LBBB,left bundle branch block,
LBM,lean body mass,
LBN,latanoprostene bunod,
LBO,large bowel obstruction,
LBP,lower back pain,
LC,local control,
LCIS,lobular carcinoma in situ,
LCSW,licensed clinical social worker,
LCX,left circumflex (coronary artery),
LD,lumbar drain,
LDCT,low-dose computed tomography,
LDH,lumbar disc herniation,
LDH,lactic acid dehydrogenase,
LDL,low density lipoprotein,
LDL-C,ow-density lipoprotein cholesterol,
LDLR,low-density lipoprotein receptor,
LDLT,living donor liver transplantation,
LDS,Loeyse-Dietz syndrome,
LE,leukocyte esterase,
LE,lower extremity,
LE,lupus erythematosus,
LECVD,Lower Extremity Chronic Venous Disease,
LEF,leflunomide,
LELE,Leading Edge to Leading Edge,
LEMG,laryngeal electromyography,
LES,lower esophageal sphincter,
LF,local failure,
LFA-1,lymphocyte function-associated antigen-1,
LFC,lateral femoral condyle,
LFT,liver function test,
LH,Laparoscopic Hysterectomy,
LH,luteinizing hormone,
LHM,laparoscopic Heller myotomy ,
LHRH,luteinizing hormone-releasing hormone,
Li-RADS,Liver Imaging Reporting and Data System,
LIMA,left internal mammary artery,
LITT,Laser Interstitial Thermal Therapy,
LKP,lamellar keratoplasty,
LLE,left lower extremity,
LLL,low level laser,
LLL,left lower lobe,
LLQ,left lower quadrant,
LLSM,levator labii superioris muscle,
LM,left main coronary artery,
LM,laparoscopic myomectomy,
LMCA,left main coronary artery stenosis,
LMP,last menstrual period,
LMT,left main trunk,
LMWH,Low Molecular Weight Heparin,
LN,lymph node,
LND,lymph node dissection,
LNF,laparoscopic Nissen fundoplication,
LOC,level of care,
LOC,level of consciousness,
LOC,loss of consciousness,
LOCADTR,level of care for alcohol and drug treatment referral,
LOF,loss-of-function,
logMAR,logarithm of the minimum angle of resolution,
LOLA,L-ornithine L-aspartate,
LOMN,letter of medical necessity,
LOS,length of stay,
LP,lumbar puncture,
LPM,lateral pterygoid muscle,
LPP,lateral pterygoid plate,
LPR,Laryngopharyngeal Reflux,
LQTS,long QT syndrome,
LR,likelihood ratio,
LR,lactated ringer,
LSD,lysergic acid diethylamide,
LSG,Laparoscopic Sleeve Gastrectomy,
LSPAF,long-standing persistent atrial fibrillation,
LSS,lumbar spinal stenosis,
LSV,Long Saphenous Vein,
LT,liver transplantation,
LTAC,long term acute care,
LTACH,long term acute care hospital,
LTBI,latent tuberculosis infection,
LTCF,lateral temporal cheek fat,
LUE,left upper extremity,
LUL,left upper lobe,
LUQ,left upper quadrant,
LUTS,lower urinary tract symptoms,
LV,lentivirus,
LV,left ventricle,
LV,limb volume,
LVAD,left ventricular assist device,
LVEDP,left ventricular end-diastolic pressure,
LVEF,left ventricle ejection fraction,
LVH,left ventricular hypertrophy,
LVO,Large Vessel Occlusion,
LVO,Left Ventricular Opacification,
LVOTO,left ventricular outflow tract obstruction,
LWPES,Lawson Wilkins Pediatric Endocrine Society,
