Abbreviation/Shorthand,Meaning,More Info
MOA,mechanism of action,
MODQ,Modified Oswestry Disability Questionnaire,
MOG,myelin oligodendrocyte glycoprotein,
MOH,medication overuse headache,
MOI,multiplicity of infection,
MOM,milk of magnesia,
MOSF,multiple organ system failure,
MP,molecular profiling,
MP,mastoid process,
MP-NAAT,multiplex nucleic acid amplification test,
mPCR,multiplex polymerase chain reaction,
MPD,myofascial pain-dysfunction,
MPFL,Medial patellofemoral ligament,
MPH,methylphenidate,
MPI,myocardial perfusion imaging,
MPJ,Metatarsal Phalangeal Joint,
MPK,microprocessor-controlled prosthetic knee,
MPL,Medial Patella Luxation,
MPN,myeloproliferative neoplasm,
MPNST,malignant peripheral nerve sheath tumor,
Mpro,main protease,
MR,mental retardation,
MR,mitral regurgitation,
MR-proADM,mid-regional pro-adrenomedullin,
MR-SWI,magnetic resonance-susceptibility weighted imaging,
MRA,magnetic resonance angiography,
MRA,mandibular repositioning appliance,
MRADL,mobility-related activity of daily living,
MRC,mitochondrial respiratory chain,
MRCP,Magnetic Resonance Cholangiopancreatogram,
MRCP,mental retardation with cerebral palsy,
MRD,margin to reflex distance,
MRE,magnetic resonance elastography ,
MRgFUS,Magnetic Resonance Guided Focused Ultrasound,
MRI,magnetic resonance imaging,
MRM,Modified Radical Mastectomy,
mRNA,messenger RNA,
MRSA,methicillin-resistant Staphylococcus aureus,
MRV,magnetic resonance venogram,
MS,mental status,
MS,mitral stenosis,
MS,morphine sulphate,
MS,multiple sclerosis,
MS,musculoskeletal,
MSA,magnetic sphincter augmentation,
MSA,multiple system atrophy,
MSAFP,Maternal Serum Alpha-Fetoprotein,
MSC,melanoma skin cancer,
MSC,mesenchymal stem cell,
MSI,microsatellite instability,
MSIS,multi-system inflammatory syndrome,
MSKCC,Memorial Sloan-Kettering Cancer Center,
MSLT,Multiple Sleep Latency Test,
MSSA,methicillin-sensitive Staphylococcus aureus,
MSU,monosodium urate,
mtDNA,mitochondrial DNA,
MTF,male-to-female,
MTHFR,methylenetetrahydrofolate reductase,
mTOR,mammalian target of rapamycin,
MTP,metatarsophalangeal,
MTX,methotrexate,
MUA,manipulation under anesthesia,
Multi-D,multi-disciplinary,
MuSK,Muscle-Specific Kinase,
MV,mechanical ventilation,
MVA,motor vehicle accident,
MVC,maximal voluntary contraction,
MVD,multi-vessel disease,
MVO,microvascular obstruction,
MVP,mitral valve prolapse,
MVR,Mitral Valve Replacement,
MVS,mitral valve surgery,
MVV,Mitral Valve Valvuloplasty,
MWS,Mowat-Wilson syndrome,
MX,metastasis cannot be measured,
MX,Distant metastasis cannot be measured,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
MZ,heterozygous Z allele,
N-MIA,N-methylimidazole acetaldehyde,
N-MIAA,N-methylimidazole acetic acid,
N/V,nausea or vomiting,
N0,Regional lymph node stage - There is no cancer in nearby lymph nodes,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
N1,Cancer in lymph node - Stage 1,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
N2,Cancer in lymph node - Stage 2,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
N3,Cancer in lymph node - Stage 3,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
Na,sodium,
NABS,normal active bowel sounds,
NAC,N-acetylcysteine,
NAD,no active disease,
NAD,no acute distress,
NAFL,non‐alcoholic fatty liver,
NAFLD,non‐alcoholic fatty liver disease,
NAK,numb-associated kinase,
nAMD,neovascular age-related macular degeneration,
NAP1L2,nucleosome assembly protein 1 like 2,
NAS,NAFLD Activity Score,
NASH,nonalcoholic steatohepatitis,
NAT,non-accidental trauma,
NAT,nucleic acid testing,
NBCCS,nevoid basal cell carcinoma syndrome,
NBNB,"non-bloody, non-bilious",
NBS,no bowel sounds,
NBUVB,narrowband ultraviolet B,
NC,nasal cannula,
NCCAH,non-classical congenital adrenal hyperplasia,
NCCN,National Comprehensive Cancer Network,
NCD,National Coverage Determination,
NCI,National Cancer Institute,
nCoV,Novel Coronavirus,
NCP,nursing care plan,
NCS,nerve conduction study,
NCT,national clinical trial,
NCV,Nerve Conduction Velocity,
ND,nasoduodenal,
ndGBM,newly diagnosed glioblastoma multiforme,
NDR,national determination for reimbursement,
NEB,nebulizer,https://en.wikipedia.org/wiki/Nebulizer
NED,no evidence of disease,
NF,neural foraminal ,
NF,Nissen fundoplication,https://en.wikipedia.org/wiki/Nissen_fundoplication
NF-κB,nuclear factor kappa B,
NF1,neurofibromatosis type 1,
ng,nanogram,
NG,nasogastric,
NGS,next-generation sequencing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3841808/
NGT,nasogastric tube,
NHEJ,non-homologous end joining,
NHL,non-Hodgkin's lymphoma,
NHLBI,"National Heart, Lung, and Blood Institute",
NIAAA,National Institute on Alcohol Abuse and Alcoholism,
NICM,nonischemic cardiomyopathy,
NICU,neonatal intensive care unit,
NICVD,National Institute of Cardiovascular Diseases,
NIDDM,non-insulin dependent diabetes mellitus,
NIH,National Institutes of Health,
NIHSS,National Institutes of Health stroke scale,
NIPS,noninvasive prenatal screening,
NIPT,noninvasive prenatal testing,
NJ,nasojejunal,
NK,natural killer,
NK,neurotrophic keratitis,
NKA,no known allergies,
NKDA,no known drug allergies,
nl,normal,
NLM,National Library of Medicine,
NLPHL,nodular lymphocyte predominant Hodgkin lymphoma,
NLRP12,"Nucleotide-Binding Oligomerization Domain, Leucine Rich Repeat And Pyrin Domain Containing 12",https://www.ncbi.nlm.nih.gov/gene/91662
NM,nuclear medicine,
NM,nonsense mutation,
NMCL,non-mucinous cystic lesion,
nmCRPC,non-metastatic castration-resistant prostate cancer,
NMD,neurosurgery for mental disorder,
NMDA,N-methyl-D-aspartate,
NMES,neuromuscular electrical stimulation,
NMH,N-methylhistamine,
NMIBC,non-muscle invasive bladder cancer,
NMO,Neuromyelitis Optica,
NMPK,non-microprocessor-controlled prosthetic knee,
NMR,nuclear magnetic resonance,https://en.wikipedia.org/wiki/Nuclear_magnetic_resonance
NMSC,non-melanoma skin cancer,
NNIS,National Nosocomial Infection Surveillance System,
NNT,numbers needed to treat,
NOAC,non-vitamin K oral anticoagulant,
nocte,at night,
NOM,nonoperative management,
NOS,not otherwise specified,
npAIR,non-paraneoplastic autoimmune retinopathy,
NPC,nasopharyngeal carcinoma,
NPH,neutral protamine Hagedorn,
NPH,Normal Pressure Hydrocephalus,
NPN,non-protein nitrogen,
NPO,nothing by mouth,
NPPV,non-invasive positive pressure ventilation,
NPS,nasopharyngeal swab,
NPV,negative predictive value,
NPWT,negative pressure wound therapy,
nr-axSpA,Non-Radiographic Axial Spondyloarthritis,
NRB,non-rebreather mask,
NREM,non-rapid eye movement,
NRI,net reclassification improvement,
NRM,non-relapse mortality,
NS,Noonan Syndrome,
NS,normal saline,
NS3,nonstructural protein 3,
NS5A,nonstructural protein 5A,
NSAA,nonsteroidal antiandrogen,
NSAID,nonsteroidal antiinflammatory drug(s),
NSCLC,non-small cell lung cancer,
NSML,Noonan syndrome with multiple lentigines,
NSQIP,National Surgical Quality Improvement Program,
NSR,normal sinus rhythm,
NST,Non-Stress Test,
NSTEMI,non-ST elevation myocardial infarction,
NSVT,non-sustained ventricular tachycardia,
NT,non-tender,
NT,normal tissue,
NT-proBNP,N-terminal pro b-type natriuretic peptide,
NT1,narcolepsy type 1,
NTD,neural tube defect,
NTG,nitroglycerin,
NTM,nontuberculous mycobacteria,
NTX,amino-terminal telopeptide of type 1 collagen,
NVAF,non-valvular atrial fibrillation,
NW,normal weight,
NWB,non-weight bearing,
NX,Regional lymph node stage - Cancer in nearby lymph nodes cannot be measured,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
NXG,Necrobiotic xanthogranuloma,
NYHA,New York Heart Association,
O&P,ova and parasites,
O2,oxygen,
OA,orbital atherectomy,
OA,osteoarthritis,
OAC,oral anticoagulant,
OAG,open-angle glaucoma,
OAR,organs at risk,
OASAS,New York Office of Addiction Services and Supports,
OAT,oral appliance therapy,
OATP,organic anion transporting polypeptide,
OATS,osteochondral allograft transplantation surgery ,
OB,occult blood,
OC,oral contraceptive,
OC,osteocalcin,
OCD,obsessive-compulsive disorder,https://www.nimh.nih.gov/health/topics/obsessive-compulsive-disorder-ocd/index.shtml
OCD,osteochondral defects,
OCP,oral contraceptive pill,
OCT,optical coherence tomography,
OCT3,organic cation transporter 3,
OD,overdose,
OD,right eye,
ODD,oppositional defiant disorder,
ODG,Official Disability Guidelines,
ODI,oxygen desaturation index,
ODT,orally disintegrating tablet,
OGTT,oral glucose tolerance test,
OHCA,out-of-hospital cardiac arrest,
OHSS,ovarian hyperstimulation syndrome,
OHT,ocular hypertension,
OHT,orthotopic heart transplantation,
OM,outcome measure,
OM,obtuse marginal branch,
OM,Otitis Media,
OM1,obtuse marginal branch 1,
OM2,obtuse marginal branch 2,
OM3,obtuse marginal branch 3,
ONB,occipital nerve block,
ONH,optic nerve head,
ONLS,Overall Neuropathy Limitation Scale,
OPC,oropharyngeal cancer,
OPC,outer pillar cell,
OPLL,ossification of the posterior longitudinal ligament,
OPTN,Organ Procurement and Transplantation Network,
OPUS,Oral Passage Understanding Scale,
OR,operating room,
ORF,open reading frame,
ORIF,open reduction internal fixation,
ORR,objective response rate,
ORS,oral rehydration solution,
OS,left eye,
OS,overall survival,
OS12,overall survival at 12 months,
OSA,obstructive sleep apnea,
OSAS,Obstructive Sleep Apnea Syndrome,
OSC,Operative Status Criteria,
OSCC,oropharyngeal squamous cell carcinoma,
OSH,outside hospital,
OSR,Open Surgical Repair,
OT,occupational therapy,
OTC,over-the-counter,
OTO,Outer to Outer,
OTW,over-the-wire,
OU,both eyes,
OV,office visit,
OVB,oral viscous budesonide,
OW,overweight,
