Abbreviation/Shorthand,Meaning,More Info
NMO,Neuromyelitis Optica,
NMOSD,neuromyelitis optica spectrum disorder,
NMPK,non-microprocessor-controlled prosthetic knee,
NMR,nuclear magnetic resonance,https://en.wikipedia.org/wiki/Nuclear_magnetic_resonance
NMSC,non-melanoma skin cancer,
NMV,net magnetization vector,
NNIS,National Nosocomial Infection Surveillance System,
NNT,numbers needed to treat,
NOAC,non-vitamin K oral anticoagulant,
nocte,at night,
NOM,nonoperative management,
NORSE,new-onset refractory status epilepticus,
NOS,not otherwise specified,
NOTCH1,Neurogenic Locus Notch Homolog Protein 1,
NP,nucleus pulpous,
npAIR,non-paraneoplastic autoimmune retinopathy,
NPC,nasopharyngeal carcinoma,
NPH,neutral protamine Hagedorn,
NPH,Normal Pressure Hydrocephalus,
NPMD,neuropsychomotor development,
NPN,non-protein nitrogen,
NPO,nothing by mouth (nils per os),
NPPV,non-invasive positive pressure ventilation,
NPS,nasopharyngeal swab,
NPSG,nocturnal polysomnography,
NPV,negative predictive value,
NPWT,negative pressure wound therapy,
NR,nicotinamide riboside,
nr-axSpA,Non-Radiographic Axial Spondyloarthritis,
NRAS,neuroblastoma Rat sarcoma virus viral oncogene homolog,
NRB,non-rebreather mask,
NREM,non-rapid eye movement,
NRI,net reclassification improvement,
NRM,non-relapse mortality,
NRS,numeric rating scale,
NS,Noonan Syndrome,
NS,normal saline,
NS3,nonstructural protein 3,
NS5A,nonstructural protein 5A,
NSAA,North Star Ambulatory Assessment,
NSAA,nonsteroidal antiandrogen,
NSAID,nonsteroidal antiinflammatory drug(s),
NSCLC,non-small cell lung cancer,
NSIP,nonspecific interstitial pneumonia,
NSIVCD,Non-Specific Interventricular Conduction Delay,
NSML,Noonan syndrome with multiple lentigines,
NSQIP,National Surgical Quality Improvement Program,
NSR,normal sinus rhythm,
NST,Non-Stress Test,
NSTEMI,non-ST elevation myocardial infarction,
NSVT,non-sustained ventricular tachycardia,
NT,non-tender,
NT,normal tissue,
NT-proBNP,N-terminal pro b-type natriuretic peptide,
NT1,narcolepsy type 1,
NTD,neural tube defect,
NTG,nitroglycerin,
NTM,nontuberculous mycobacteria,
NTRK,neurotrophic tyrosine receptor kinase,
NTX,amino-terminal telopeptide of type 1 collagen,
NVAF,non-valvular atrial fibrillation,
NW,normal weight,
NWB,non-weight bearing,
NX,Regional lymph node stage - Cancer in nearby lymph nodes cannot be measured,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
NXG,Necrobiotic xanthogranuloma,
NYHA,New York Heart Association,
O&P,ova and parasites,
O2,oxygen,
OA,orbital atherectomy,
OA,osteoarthritis,
OAB,overactive bladder,
OAC,oral anticoagulant,
OAG,open-angle glaucoma,
OAR,organs at risk,
OASAS,New York Office of Addiction Services and Supports,
OAT,oral appliance therapy,
OATP,organic anion transporting polypeptide,
OATS,osteochondral allograft transplantation surgery ,
OB,occult blood,
OC,oral contraceptive,
OC,osteocalcin,
occ,occasional,
OCD,osteochondritis dissecans ,
OCD,obsessive-compulsive disorder,https://www.nimh.nih.gov/health/topics/obsessive-compulsive-disorder-ocd/index.shtml
OCD,osteochondral defects,
OCP,oral contraceptive pill,
OCT,optical coherence tomography,
OCT3,organic cation transporter 3,
OCTA,optical coherence tomography angiography,
OCTT,orocoecal transit time,
OD,overdose,
OD,right eye (oculus dexter),
ODD,oppositional defiant disorder,
ODG,Official Disability Guidelines,
ODI,Oswestry Disability Index,
ODI,oxygen desaturation index,
ODT,orally disintegrating tablet,
OETD,obstructive Eustachian tube dysfunction,
OGTT,oral glucose tolerance test,
OHCA,out-of-hospital cardiac arrest,
OHSS,ovarian hyperstimulation syndrome,
OHT,ocular hypertension,
OHT,orthotopic heart transplantation,
OINT,Ointment,
OLE,open-label extension,
OLE,oscillation and lung expasion,
OM,outcome measure,
OM,obtuse marginal branch,
OM,Otitis Media,
OM1,obtuse marginal branch 1,
OM2,obtuse marginal branch 2,
OM3,obtuse marginal branch 3,
OMD,oligometastatic disease,
OMFS,oral and maxillofacial surgery,
OMM,optimized medical management,
OMS,Oral & Maxillofacial Surgery ,
OMT,optimized medical therapy,
ONB,occipital nerve block,
ONH,optic nerve head,
ONLS,Overall Neuropathy Limitation Scale,
OOM-SC,orbicularis oculi muscle stem cell,
OP,open prostatectomy,
OPC,oropharyngeal cancer,
OPC,outer pillar cell,
OPLL,ossification of the posterior longitudinal ligament,
OPP,ocular perfusion pressure,
OPTN,Organ Procurement and Transplantation Network,
OPUS,Oral Passage Understanding Scale,
OR,osmotic release,
OR,odds ratio,
OR,operating room,
ORF,open reading frame,
ORIF,open reduction internal fixation,
ORR,objective response rate,
ORS,oral rehydration solution,
OS,left eye (oculus sinister),
OS,overall survival,
OS12,overall survival at 12 months,
OSA,obstructive sleep apnea,
OSAS,Obstructive Sleep Apnea Syndrome,
OSC,Operative Status Criteria,
OSCC,oropharyngeal squamous cell carcinoma,
OSD,ocular surface disease,
OSH,outside hospital,
OSR,Open Surgical Repair,
OT,occupational therapy,
OTC,over-the-counter,
OTO,Outer to Outer,
OTSC,over-the-scope clip,
OTW,over-the-wire,
OU,both eyes (oculus uterque),
OV,office visit,
OVB,oral viscous budesonide,
OW,overweight,
OX1R,orexin receptor type 1,
OX2R,orexin receptor type 2,
