Abbreviation/Shorthand,Meaning,More Info
AFAFP,Amniotic Fluid Alpha-Fetoprotein,
AFB,acid fast bacillus,
AFB,acid fast bacterium,
Afeb,afebrile,
AFI,amniotic fluid index,
AFIB,atrial fibrillation,
AFL,atrial flutter,
AFLS,Assessment of Functional Living Skills,
AFM,Acute Flaccid Myelitis ,https://www.cdc.gov/acute-flaccid-myelitis/index.html
AFO,ankle foot orthosis,
AFP,alpha-fetoprotein,
AFS,American Foregut Society,
AFT,Autologous Fat Transfer,
AFV,amniotic fluid volume,
AFVSS,"afebrile, vital signs stable",
AGA,American Gastroenterological Association,
AGA,appropriate for gestational age,
AGB,Adjustable Gastric Banding,
AGE,acute gastroenteritis,
AH,alcoholic hepatitis,
AH,abductor hallucis,
AHA,American Heart Association,
AHFS,American Hospital Formulary Service,
AHI,apnea-hypopnea index,
AHRE,atrial high-rate episodes,
AI,aortic insufficiency,
AI,apnea index,
AIBV,Avian Infectious Bronchitis Virus,
AICD,automatic implantable cardioverter defibrillator,
AIDP,Acute Inflammatory Demyelinating Polyneuropathy,
AIDS,acquired immune deficiency syndrome,
AIED,Autoimmune Inner Ear Disease,
AIIRD,autoimmune inflammatory rheumatic disease,
AIR,acute inpatient rehabilitation,
AIR,autoimmune retinopathy,
AIRF,acute inpatient rehabilitation facility,
AIRR-seq,adaptive immune receptor repertoire sequencing,
AIS,acute ischemic stroke,
AIS,ASIA impairment scale,
AIUM,American Institute of Ultrasound in Medicine,
AJ,ankle jerk,
AJCC,American Joint Committee on Cancer,
AK,actinic keratosis,
AK,above knee,
AK,Arcuate keratotomy,
AKA,above knee amputation,
AKI,acute kidney injury,
AKT,protein kinase B,
ALA,5-aminolevulinic acid,
ALA-PDT,5-aminolevulinic acid-mediated photodynamic therapy,
Alb,albumin,
ALD,Assistive Listening Device,
ALDH,aldehyde dehydrogenase,
ALF,acute liver failure,
ALI,Acute Limb Ischemia,
ALI,acute lung injury,
ALIF,Anterior Lumbar Interbody Fusion,
ALK,anaplastic lymphoma kinase,
Alk phos,alkaline phosphatase,
ALL,acute lymphocytic leukemia,
ALL,allergies,
ALNT,Autologous Lymph Node Transfer,
ALP,alkaline phosphatase,
ALS,advanced life support,
ALS,amyotrophic lateral sclerosis,
ALSFRS,Amyotrophic Lateral Sclerosis Functional Rating Scale,
ALSFRS-R,Revised Amyotrophic Lateral Sclerosis Functional Rating Scale,
ALT,alanine aminotransferase,
ALTE,Apparent Life-Threatening Event,
am,ante meridiem,
AMA,antimitochondrial antibody,
AMA,against medical advice,
AMA,advanced maternal age,
amb,ambulate,
AMC-BAL,Amsterdam Medical Center bioartificial liver,
AMD,aging macular degeneration,
AMH,anti-mullerian hormone,
AMI,acute myocardial infarction,
AML,acute myelogenous leukemia,
AMLS,advanced medical life support,
AMML,acute myelomonocytic leukemia,
AMP,Amputee Mobility Predictor,
AMP,adenosine monophosphate,
AMP,amphetamine,
amp,ampule,
AMS,altered mental status,
ANA,antinuclear antibody,
anast,anastomosis,
ANC,absolute neutrophil count,
ANED,alive no evidence of disease,
ANF,atrial natriuretic factor,
ANOVA,analysis of variance,
ANP,atrial natriuretic peptide,
ant,anterior,
Ao,aorta,
AOB,Aortic Occlusion Balloon,
AOB,assignment of benefits,
AOCD,Anemia of Chronic Disease,
AOD,atlanto-occipital dislocation,
AODM,adult-onset diabetes mellitus,
AOM,Acute Otitis Media,
AOT,Assisted Outpatient Treatment,
AP,abdomen/pelvis,
AP,attending physician,
AP,anteroposterior,
AP-MS,affinity-purification mass spectrometry,
APAAP,alkaline phosphatase monoclonal anti-alkaline phosphatase,
APAP,autotitrating positive airway pressure,
APAP,acetaminophen,
APB,abductor pollicis brevis,
aPC,activated protein C,
APC,antigen presenting cell,
APC,adenomatous polyposis coli,
APC,atrial premature contraction,
aPC-R,activated protein C resistance,
APCD,advanced pneumatic compression device,
APD,Automated Peritoneal Dialysis,
APD,Auditory Processing Disorder,
APHE,arterial phase hyperenhancement,
APL,abductor pollicis longus,
APR,Abdominal Perineal Resection,
APRV,airway pressure release ventilation,
APS,antiphospholipid syndrome,
aPTT,activated partial thromboplastin,
AQ,aquapheresis,
AQLQ,Asthma Quality of Life Questionnaire,
AR,androgen receptor,
AR,Allergic Rhinitis,
AR,aortic regurgitation,
ARA,antiretinal antibody,
ARA,accessory renal arteries,
ARA,arachidonic acid,
ARAG,autosomal recessive agammaglobulinemia,
ARB,angiotensin II receptor blocker,
ARCA,autosomal-recessive cerebellar ataxia,
ARDS,acute respiratory distress syndrome,
ARF,acute renal failure,
ARF,acute rheumatic fever,
ARM,anorectal malformation,
AROM,artificial rupture of membranes,
ART,assisted reproductive technology,
ART,Antiretroviral Therapy,
ARV,antiretroviral,
ARVC,arrhythmogenic right ventricular cardiomyopathy,
ARVD,Arrhythmogenic Right Ventricular Dysplasia,
AS,ankylosing spondylitis,
AS,aortic stenosis,
AS-OCT,anterior segment optical coherence tomography,
AS-PCR,allele-specific polymerase chain reaction,
ASA,acetylsalicylic acid (aspirin),
ASA,American Society of Anesthesiologists,
ASAM,American Society of Addiction Medicine,
ASAS 20/40/50/70,Assessment in Ankylosing Spondylitis response criteria 20/40/50/70,
ASCVD,atherosclerotic cardiovascular disease,
ASD,Adult Spinal Deformity,
ASD,atrial septal defect,
ASD,autism spectrum disorder,
ASGPR,asialoglycoprotein receptor,
ASHD,arteriosclerotic heart disease,
ASHF,acute systolic heart failure,
ASIA,American Spinal Injury Association,"https://emedicine.medscape.com/article/2172437-overview#:~:text=ASIA%20Impairment%20Scale.%20The%20extent%20of%20spinal%20cord,S4-S5%20B%20%3D%20Incomplete%3A%20Sensory%2C%20but%20not%20motor%2C"
ASIA A,complete spinal injury impairment; no sensory or motor function is preserved in sacral segments S4-S5,"https://emedicine.medscape.com/article/2172437-overview#:~:text=ASIA%20Impairment%20Scale.%20The%20extent%20of%20spinal%20cord,S4-S5%20B%20%3D%20Incomplete%3A%20Sensory%2C%20but%20not%20motor%2C"
ASIA B,"incomplete spinal injury impairment; sensory, but not motor, function is preserved below the neurologic level and extends through sacral segments S4-S5","https://emedicine.medscape.com/article/2172437-overview#:~:text=ASIA%20Impairment%20Scale.%20The%20extent%20of%20spinal%20cord,S4-S5%20B%20%3D%20Incomplete%3A%20Sensory%2C%20but%20not%20motor%2C"
ASIA C,"incomplete spinal injury impairment; motor function is preserved below the neurologic level, and most key muscles below the neurologic level have a muscle grade of less than 3","https://emedicine.medscape.com/article/2172437-overview#:~:text=ASIA%20Impairment%20Scale.%20The%20extent%20of%20spinal%20cord,S4-S5%20B%20%3D%20Incomplete%3A%20Sensory%2C%20but%20not%20motor%2C"
ASIA D,"incomplete spinal injury impairment; motor function is preserved below the neurologic level, and most key muscles below the neurologic level have a muscle grade that is greater than or equal to 3","https://emedicine.medscape.com/article/2172437-overview#:~:text=ASIA%20Impairment%20Scale.%20The%20extent%20of%20spinal%20cord,S4-S5%20B%20%3D%20Incomplete%3A%20Sensory%2C%20but%20not%20motor%2C"
ASIA E,spine is normal; sensory and motor functions are normal,"https://emedicine.medscape.com/article/2172437-overview#:~:text=ASIA%20Impairment%20Scale.%20The%20extent%20of%20spinal%20cord,S4-S5%20B%20%3D%20Incomplete%3A%20Sensory%2C%20but%20not%20motor%2C"
ASIPP,American Society of Interventional Pain Physicians,https://asipp.org/
ASM,airway smooth muscle,
ASMA,Anti Smooth Muscle Antibody,
ASMBS,American Society for Metabolic and Bariatric Surgery,
ASNR,American Society of Neuroradiology,https://www.asnr.org/
ASO,antisense oligonucleotide,
ASO,Anterior Segmental Osteotomy,
ASO,Antistreptolysin O,
ASRA,American Society of Regional Anesthesia and Pain Medicine,https://www.asra.com/
ASRM,American Society for Reproductive Medicine,
ASSFN,American Society of Stereotactic and Functional Neurosurgery,
AST,aspartate aminotransferase,
ASTRO,American Society for Radiation Oncology,
ASU,ambulatory surgery unit,
ASV,adaptive servo-ventilation,
ASVD,atrioventricular septal defect,
ASVD,Arteriosclerotic Vascular Disease,
AT,alopecia totalis,
AT,anterior tibial,
AT/RT,atypical teratoid/rhabdoid tumor,
ATA,antibodies to adalimumab,
ATA,atrial tachyarrhythmia,
ATACH,atrial tachycardia,
ATEC,Autism Treatment Evaluation Checklist,
ATFL,anterior talofibular ligament,
ATG,anti-thymocyte globulin,
ATI,antibodies to Infliximab,
ATK,above the knee,
ATL,adult T-cell leukemia,
ATLL,adult T-cell leukemia/lymphoma,
ATM,acute transverse myelitis,
ATM,Ataxia-Telangiectasia mutation,
ATN,acute tubular necrosis,
ATN,atubular necrosis,
ATOMAC,Arizona-Texas-Oklahoma-Memphis-Arkansas Consortium,
ATP,adenosine triphosphate,
ATR,achilles tendon rupture,
AU,alopecia universalis,
AUA,American Urological Association,
AUASS,American Urological Association Symptom Score,
AUB,abnormal uterine bleeding,
AUC,area under the curve,
AUD,alcohol use disorder,
AUDIT,Alcohol Use Disorders Inventory Test,
AUI,Aorto-Uni-Iliac,
AutoPAP,automatic titrating positive airway pressure,
AV,arteriovenous,
AV,atrioventricular,
AVB,Aortic Valve Bypass,
AVD,atrioventricular dissociation,
aVF,augmented vector foot,
AVF,arteriovenous fistula,
AVH,Auditory/Visual Hallucination,
AVI,automatic volume infusion pump,
aVL,Augmented Vector Left,
AVM,arteriovenous malformation,
AVN,avascular necrosis,
AVNRT,atrioventricular nodal reentrant tachycardia,
AVP,arginine vasopressin,
aVR,Augmented Vector Right,
AVR,aortic valve replacement,
AVRMVR,aortic valve repair or replacement mitral valve repair or replacement,
AVRT,atrioventricular reentrant tachycardia,
AVSS,"afebrile, vital signs stable",
AVWS,acquired von Willebrand syndrome,
AWL,after weight loss,
AWR,Abdominal Wall Reconstruction,
Ax-fem,Axillo‐Femoral,
AXR,abdominal x-ray,
AXT,alternating exotropia,
AZA,azathiopurine,
AZOOR,acute zonal occult outer retinopathy,
