Abbreviation/Shorthand,Meaning,More Info
V30,volume receiving 30 gray,
V4,intracranial segment of vertebral artery,
V40,volume receiving 40 gray,
V5,volume receiving 5 Gray,
V50,volume receiving 50 gray,
VA,ventricular arrhythmia,
VA,visual acuity,
VA,vertebral artery,
VA,venoarterial,
VA-ECMO,veno-arterial extracorporeal membrane oxygenation,
VAC,vacuum-assisted closure,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3516930/#:~:text=Vacuum-assisted%20closure%20%28VAC%29%20therapy%20is%20a%20widely%20acknowledged,intestinal%20fistulas%20is%20still%20a%20subject%20of%20debate."
VACS,vertebral artery compression syndrome,
VACTERL,"vertebrae, anus, cardiac, tracheoesophageal fistula, renal, limbs",
VAD,vertebral artery dissection,
VADA,vertebral artery dissecting aneurysm,
VAERS,Vaccine Adverse Event Reporting System,https://vaers.hhs.gov/
VAH,vertebral artery hypoplasia,
VAP,ventilator-associated pneumonia,
VAS,Visual Analogue Scale,
VATER,"vertebrae, anus, tracheoesophageal fistula, renal",
VATS,Video Assisted Thoracoscopy,
VB-MAPP,Verbal Behavior Milestones Assessment and Placement Program,
VBA,vertebrobasilar artery,
VBAC,vaginal birth after a previous cesarean delivery,
VBAO,vertebrobasilar artery occlusion,
VBG,venous blood gas,
VC,vital capacity,
VCD,vascular closure device,
VCSS,Venous Clinical Severity Score,
VD,vascular dementia,
VD,venereal disease,
VD,vascular decompression,
VD-PACE,"Velcade, Dexamethasone, Cisplatin, Doxorubicin, Cyclophosphamide, Etoposide",
VDRF,ventilator-dependent respiratory failure,
VDRL,Venereal Disease Research Laboratory (serological test for syphilis),
VDZ,vedolizumab,
VED,Vascular Ehlerse-Danlos Syndrome,
VEEG,video EEG,
VEEV,Venezuelan equine encephalitis virus,
VEGF,vascular endothelial growth factor,
VEINES-QOL/Sym,Venous Insufficiency Epidemiological and Economic Study-Quality of Life/Symptoms,
VEO-IBD,Very Early Onset Inflammatory Bowel Disease,
VEP,vertebral body endplate,
VEP,variant effect predictor,
VF,visual field,
VF,ventricular fibrillation,https://en.wikipedia.org/wiki/Ventricular_fibrillation
VGPR,very good partial response,
VHD,valvular heart disease,
VHL,von Hippel-Lindau syndrome,
VHR,very high risk,
VIDISCA,Virus-Discovery-cDNA-AFLP,
vIGA,Validated Investigator Global Assessment,
VKA,vitamin K antagonist,
VLCAD,very long-chain acyl-coenzyme A dehydrogenase,
VLDL,very-low-density lipoprotein,
VM,Venturi mask,
VM,ventriculomegaly ,
VMAT,volume modulated arc therapy,
VMAT2,vesicular monoamine transporter,
VMI,visual motor integration,
VMS,vasomotor symptoms,
VNA,Visiting Nurse Association,
VNS,visiting nurse service,
VNS,Vitiligo Noticability Scale,
VNS,vagus nerve stimulator,
VOC,vasoocclusive crisis,
VOG,Giacomini vein,
VOGM,Vein of Galen malformation,
VP,Ventriculo-Peritoneal,
VPB,ventricular premature beat,
VPC,ventricular premature complexes,
VPV2R,vasopressin V2 receptor,
VQ,ventilation/quantity of perfusion,
VRAS,Virginia Radiosurgery AVM Scale,
VRE,vancomycin-resistant enterococci,
VREP,very rare exocrine neoplasm of the pancreas,
VS,viscosupplementation,
VS,Vertiflex Superion,
VS,vascular surgery,
VS,vital signs,
VSD,ventricular septal defect,
VSS,Venous Sinus Stenting,
VSS,vital signs stable,
VT,vest therapy,
VT,ventricular tachycardia,
VTE,venous thromboembolism,
VTM,viral transport medium,
VUS,variant of undetermined significance,
VV,venovenous,
VVC,vulvovaginal candidiasis,
VVI,"ventricle paced, ventricle sensed, pacing is inhibited if beat is sensed",
VWF,von Willebrand factor,
VWF:Ag,von Willebrand antigen,
VWF:CB,von Willebrand collagen binding,
VWF:RCo,von Willebrand factor ristocetin cofactor,
VZIG,varicella zoster immune globulin,
VZV,Varicella-Zoster Virus,
w/u,workup,
WAFR,Wafer,
WB,weight bearing,
WBAT,weight bearing as tolerated,
WBC,white blood cells,
WBC,white blood count,
WBE,wastewater-based epidemiology,
WBRT,whole-breast radiation therapy,
WBRT,whole-brain radiation therapy,
WBRT-HA,whole-brain radiation therapy - hippocampal avoidance,
WBT,weight bearing tolerance,
WC,wheelchair,
WCD,wearable cardioverter defibrillator,
WCE,wireless capsule endoscopy,
WCNSF,wounded child no surviving family,
WD,wound dehiscence,
WDS,Word Discrimination Score,
WES,Whole Exome Sequencing,
WFL,within functional limits,
WGS,whole genome sequencing,
WHCRA,Women’s Health and Cancer Rights Act,https://www.dol.gov/agencies/ebsa/laws-and-regulations/laws/whcra
WHO,World Health Organization,
WIRB,Western Institutional Review Board,
WM,withdrawal management,
WM,white matter,
WMA,wall motion abnormality,
WMFT,Wolf Motor Function Test,
WMH,white matter hyperintensity,
WNE,West Nile encephalitis,
WNF,West Nile fever,
WNL,within normal limits,
WNM,West Nile meningitis,
WNND,West Nile neuroinvasive disease,
WNV,West Nile virus,
WNV,Wechsler Scale of Nonverbal Ability,
WPATH,World Professional Association for Transgender Health,https://www.wpath.org/
WPPSI-IV,"Wechsler Preschool and Primary Scale of Intelligence, Fourth Edition",
WPW,Wolff-Parkinson-White,
WRAVMA,Wide Range Assessment of Visual Motor Abilities,
WS,Williams Syndrome,
Wt,weight,
WVTT,Water Vapor Thermal Therapy,
WWTP,wastewater treatment plant,
XDR,extensively drug-resistant,
XDR-TB,extensively drug-resistant tuberculosis,
XL,extended release,
XLA,X-linked agammaglobulinemia,
XLIF,extreme lateral interbody fusion,
XLT,extended length tracheostomy tubes,
XR,extended release,
XRT,photon radiotherapy,
Y90,Yttrium-90,
YBOCS,Yale Brown Obsessive Compulsive Scale,
yfgn,[this is a proprietary suffix that does not mean anything],https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/761201Orig1s000NameR.pdf
yo,year-old/years old,
ZM,zygomaticus minor muscle,
Zn,zinc,
ZnT8,zinc transporter 8,
ZZ,homozygous Z allele,
