Abbreviation/Shorthand,Meaning,More Info
SRP,signal recognition peptide,
SRS,stereotactic radiosurgery,
SRT,superficial radiation therapy,
SRT,septal reduction therapy,
SSD,splice-site disruptions,
SSED,summary of safety and effectiveness data,
SSEP,spinal somatosensory evoked potential,
SSI,supplemental security income,
SSI,surgical site infection,
SSIL-SEL,Social Skills Improvement System - Social-Emotional Learning Edition,
SSIS,Social Skills Improvement System,
SSNHL,sudden sensorineural hearing loss,
SSPT,spot-scanning proton therapy,
SSR,showed sinus rhythm,
SSRI,selective serotonin reuptake inhibitor,
SSS,superior sagittal sinus,
SSS,symptom severity score,
SSTI,skin and soft tissue infection,
SSV,short saphenous vein,
SSZ,sulfasalazine,
ST,stent thrombosis,
STAT,statim (immediately),
STAT,signal transducer and activator of transcription,
STD,sexually transmitted disease,
STEC,Shiga toxin–producing E. coli,
STEMI,ST elevation myocardial infarction,
STI,sexuallty transmitted infection,
STM,soft tissue mobilization,
STOPAH,Steroids or Pentoxifylline for Alcoholic Hepatitis,
STRN,Soft tissue radionecrosis,
STS,serologic test for syphilis,
STS,soft tissue sarcoma,
STS,Society of Thoracic Surgeons,
STSG,Split Thickness Skin Graft,
SUD,substance use disorder,
SUDEP,sudden unexpected death in epilepsy,
SUVmax,Maximum Standard Uptake Value,
SVC,superior vena cava,
SVD,small-vessel disease,
SVD,single vessel disease,
SVD,spontaneous vaginal delivery,
SVG,saphenous vein graft,
SvO2,mixed venous oxygen saturation,
SVR,sustained virologic response,
SVT,supraventricular tachycardia,
SW,social work,
SW,stab wound,
SWI,Susceptibility Weighted Imaging,
SWS,stimulated whole salivary,
SWS,Sturge–Weber syndrome,
Sx,symptoms,
T,temperature,
T Bili,total bilirubin,
t-EMG,triggered EMG,
t-MeHa,tele‐methylhistamine,
T-PLL,T-Cell Prolymphocytic Leukemia,
T&A,tonsillectomy and adenoidectomy,
T0,Tumor stage - Main tumor cannot be found,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T1,Stage 1 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T1,first thoracic spine vertebra,
T1,prostate cancer nonpalpable and not identified in imaging,https://www.hopkinsmedicine.org/health/conditions-and-diseases/prostate-cancer/prostate-cancer-stages
T10,tenth thoracic spine vertebra,
T11,eleventh thoracic spine vertebra,
T12,twelfth thoracic spine vertebra,
T1c,nonpalpable prostate cancer diagnosed by needle biopsy,https://pubmed.ncbi.nlm.nih.gov/12500852/
T1DM,type 1 Diabetes Mellitus,
T2,time constant T2,https://radiopaedia.org/articles/t2-relaxation?lang=us
T2,Stage 2 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T2,second thoracic spine vertebra,
T2DM,type 2 Diabetes Mellitus,
T3,Triiodothyronine,
T3,Stage 3 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T3,third thoracic spine vertebra,
T4,Thyroxine,
T4,Stage 4 tumor,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
T4,fourth thoracic spine vertebra,
T5,fifth thoracic spine vertebra,
T6,sixth thoracic spine vertebra,
T7,seventh thoracic spine vertebra,
T8,eighth thoracic spine vertebra,
T9,ninth thoracic spine vertebra,
TA,tibialis anterior,
TA,transverse abdominus,
TAAA,Thoracoabdominal Aortic Aneurysm,
TACC3,transforming acidic coiled coil-containing protein 3,
TACE,transarterial chemoembolization ,
TAH,total abdominal hysterectomy,
TALEN,transcription activator-like effector nuclease,
TAVI,transcatheter aortic valve implantation,
TAVR,transcatheter aortic valve replacement,
TB,tuberculosis,
TB,temporal bone,
TBI,total body irradiation,
TBI,traumatic brain injury,
TBS,tris buffered saline,
TCA,tricyclic antidepressant,
TCAD,transplant coronary artery disease,
TCAR,transcarotid artery revascularization,
TCC,Transitional Cell Carcinoma,
TCR,T cell receptor,
TCS,template consensus sequence,
TCT,thinnest corneal thickness,
Tdap,"tetanus, diptheria, and tetanus",
TDM,therapeutic drug monitoring,
TED,thyroid eye disease,
TEE,transesophageal echocardiogram,
TEM,Effector memory T,
TEM,Transanal Endoscopic Microsurgery,
TENS,transcutaneous electrical nerve stimulation,
TEP,tumor educated platelet,
TF,tissue factor,
TFA,transfemoral amputee,
TFA,transcervical fibroid ablation,
TFCAS,transfemoral carotid artery stenting,
TFI,transfemoral intervention,
TFNE,transient focal neurological episode,
TG,triglycerides,
TG,trigeminal ganglion,
TGEV,transmissible gastroenteritis virus,
TGF,transforming growth factor,
TGF-β2,transforming growth factor- β2,
TGFβ,transforming growth factor beta,
TGFβ3,transforming growth factor β3,
TGI,tracheal gas insufflation,
THA,total hip arthroplasty,
THC,tetrahydrocannabinol,
THR,total hip replacement,
TIA,transient ischemic attack,
TIBC,total iron-binding capacity,
TID,three times per day,
TIMI,thrombolysis in myocardial infarction,
TIPS,transjugular intrahepatic portosystemic shunt,
TIV,tumor in vein,
TKA,total knee arthroplasty,
TKI,Tyrosine Kinase Inhibitor,
TKO,to keep open,
TKR,total knee replacement,
TKV,total kidney volume,
TLH,total laparoscopic hysterectomy,
TLIF,Transforaminal Lumbar Interbody Fusion,
TLR,Toll‐like receptors,
TLSO,thoracic-lumbar-sacral orthotic,
TM,transformed migraine,
TM,tectorial membrane,
TM,tympanic membrane (eardrum),
TM,temporalis muscle,
TMA,transmetatarsal amputation,
tMax,temperature maximum,
TMB,tumor mutational burden,
TMEM43,transmembrane protein 43,
TMJ,temporomandibular joint,
TMN,tuberomammillary nucleus,
TMP-SMX,trimethoprim-sulfamethoxazole,
TMR,Transmyocardial Revascularization,
TMS,transcranial magnetic stimulation,
TMZ,temozolomide,
TN,trigeminal neuralgia,
TN,true negative,
TNB,trigeminal nerve block,
TNE,transnasal esophagoscopy,
TNF,tumor necrosis factor,
TNF-α,tumor necrosis factor alpha,
TNFi,tumor necrosis factor inhibitor,
TNM,Tumor-Node-Metastasis,
TNTC,too numerous to count,
TOF,tetralogy of fallot,
TONIC,treatment of nonalcoholic fatty liver disease in children,
TORCH,"Toxoplasmosis, Other (syphilis, varicella-zoster, parvovirus B19), Rubella, Cytomegalovirus (CMV), and Herpes",
TP,total protein,
TP,true positive,
TPA,thyroid peroxidase antibody,
tPA,tissue plasminogen activator,
TPA,total parenteral alimentation,
TPE,therapeutic plasma exchange,
TPN,Total Parenteral Nutrition,
TPO,thrombopoietin,
TPR,"temperature, pulse, respiration",
tPSA,total prostate specific antigen,
TR,transradial,
TRALI,transfusion-related acute lung injury,
TRB,T-cell receptor beta,
TRD,treatment-resistant depression,
TRD,tongue retaining device,
Treg,regulatory T cell,
TRESK,TWIK-related spinal cord potassium channel,
TRG,T-cell receptor gamma,
TRI,trans-radial intervention,
TRM,resident memory T,
TRM,tissue-resident memory,
TRP,treatment-related pneumonitis,
TRP,transient receptor potential,
TRS,transcription regulatory sequence,
TRUS,Transrectal Ultrasound,
TSH,thyroid stimulating hormone,
TSS,therapeutic staff support,
TSS-NS,therapeutic staff support non-school,
TSS-S,therapeutic staff support in school,
tSSS,transformed Symptom Severity Score,
TTB,total toxicity burden,
TTE,Transthoracic Echocardiogram,
TTF,tumor treating fields,
TTLP,time to liver progression,
TTP,time to tumor progression,
TTP,tender to palpitation,
TTP,Thrombotic Thrombocytopenic Purpura,
TTP,tissue tolerable plasmas,
TTS,temporary threshold shift,
TTS,through-the-scope,
TUG,Timed Up and Go,
TURBT,Transurethral Resection of Bladder Tumor,
TURP,transurethral resection of prostate gland,
TVC,true vocal cord,
TVF,target vessel failure,
TViV,transcatheter valve‐in‐valve implantation,
TVP,transvenous pacemaker,
TVR,Tricuspid Valve Replacement,
TVUS,Transvaginal Ultrasound,
TVV,Tricuspid Valve Valvuloplasty,
TWI,T-wave inversion,
TX,Tumor stage - Main tumor cannot be measured,https://www.cancer.gov/about-cancer/diagnosis-staging/staging
Tx,treatment,
TXA,tranexamic acid,
TZD,Thiazolidinediones,
