Abbreviation/Shorthand,Meaning,More Info
FiO2,fractional inspired oxygen concentration,
FIP,Feline Infektiöse Peritonitis,
FIS,Forskolin-induced swelling,
FISH,fluorescence in situ hybridization,
FIT,fellow in training,
FITC,fluorescein isothiocyanate,
FK,tacrolimus,
fL,femtoliter,
FLA,focal laser ablation,
FLAIR,fluid-attenuated inversion recovery,
FLAK,flakes,
FLIM,fluorescence lifetime imaging microscopy,
FLT3,fms-like tyrosine kinase 3,
FM,Fugl-Meyer,
FM,fibromyalgia,
FM,fetal monitor,
FMF,Familial Mediterranean Fever,
FMN,flavin mononucleotide,
FMS,fibromyalgia syndrome,
FN,femoral nerve,
FN,false negative,
FNA,fine needle aspiration,
FNAB,fine needle aspiration biopsy,
FND,functional neurologic disorder,
FO,fluid overload,
FOB,father of baby,
FOBT,fecal occult blood testing,
FOCBP,female of child-bearing potential,
FOLFIRI,"Folinic Acid, Fluorouracil, Irinotecan Hydrochloride",https://www.cancer.gov/about-cancer/treatment/drugs/folfiri
FOLFIRINOX,"folinic acid, fluorouracil, irinotecan, oxaliplatin",
FOLFOX,"Folinic Acid, Fluorouracil, Oxaliplatin",https://www.cancer.gov/about-cancer/treatment/drugs/folfox
FOM,floor of mouth,
FOP,fibrodysplasia ossificans progressiva,
FOXF1,forkhead box F1,
FP,femoropopliteal,
FP,false positive,
FPL,flexor pollicis longus,
FPN,ferroportin ,
fPSA,free prostate specific antigen,
FQHC,Federally Qualified Health Center,https://en.wikipedia.org/wiki/Federally_Qualified_Health_Center
FrACT,Freiburg Visual Acuity Test,
FRalpha,folate receptor-alpha,
FRAX,fracture risk assessment,
FRC,functional residual capacity,
frEMG,free running electromyography,
FRET,fluorescence resonance energy transfer,
FS+,febrile seizure plus,
FSBS,fingerstick blood sugar,
FSE,fast spin echo,
FSFI,Female Sexual Function Index,
FSG,fasting serum glucose,
FSG,finger stick glucose,
FSGS,focal segmental glomerulosclerosis,
FSH,follicle stimulating hormone,
FSP,familial spastic paraparesis,
fSRT,fractionated sterotactic radiotherapy,
FSS,Freeman-Sheldon syndrome,
FT,functional threshold,
FT,first trimester,
FT,focal therapy,
fT3,free triiodothyronine,
fT4,free thyroxin,
FTM,failure to mature,
FTM,female-to-male,
FTSG,Full Thickness Skin Graft,
FTT,failure to thrive,
FTU,fingertip unit,
FU,fluorouracil,
FU,follow up,
FUO,Fever of Unknown Origin,
FV,factor V,
FVC,forced vital capacity,
FVL,factor V Leiden,
FWB,full weight bearing,
FWW,front wheeled walker,
Fx,fracture,
fx,fractions,
g,gram,
G-CSF,granulocyte colony-stimulating factor,
G-J,gastrostomy-jejunostomy/Gastro-Jejunal,
G-POEM,gastric per oral endoscopic myotomy,
g/dl,grams per deciliter,
G1,Grade 1 (mild) toxicity,
G2,Grade 2 (moderate) toxicity,
G3,Grade 3 (severe) toxicity,
G4,Grade 4 (potentially life-threatening) toxicity,
G6PD,glucose-6-phosphate dehydrogenase,
G6PD,glucose-6-phosphate dehydrogenase,
GA,general anesthesia,
GABA,Gamma-Aminobutyric acid,
GABHS,group A β-hemolytic streptococcal,
GAD,general anxiety disorder,
GAD-7,Generalised Anxiety Disorder Assessment,
GAD65,glutamic acid decarboxylase 65-kilodalton isoform,
GAG,glycosaminoglycan,
GAHS,Glasgow Alcoholic Hepatitis Score,
GAK,Cyclin G-associated kinase,
GalNAc,N-acetylgalactosamine,
GARS-2,"Gilliam Autism Rating Scale, Second Edition",
GAS,Group A Streptococcus,
GAS,Gender Affirmation Surgery,
GATA2,GATA binding protein 2,
GATT,Gonioscopy-Assisted Transluminal Trabeculotomy,
GB,gallbladder,
GBM,glioblastoma multiforme,
GBM-PNC,glioblastomas with primitive neuronal components,
GBS,Group B streptococcus,
GBX2,gastrulation brain homeobox 2,
GC,genomic classifier,
GC,glucocorticoid,
GC,Gonorrhea,
GC-rich,Guanine/Cytosine-rich,
GCS,Glasgow coma scale,
GCSI,Gastroparesis Cardinal Symptoms Index,
GDMT,guideline-directed medical therapy,
gDNA,genomic DNA,
GDNF,glial cell line-derived neurotrophic factor,
GE,gastroesophageal,
GEC,gene expression classifier,
GEF,guanosine nucleotide exchange factor,
GEJ,gastroesophageal junction,
GEM,gemcitabine,
GEP,gene expression profiling,
GEP-NET,gastroenteropancreatic neuroendocrine tumor,
GER,gastroesophageal reflux,
GERD,gastroesophageal reflux disease,
GES,gastric electrical stimulation,
GES,gastric emptying scintigraphy,
GF,gluten-free,
GFMCS,Gross Motor Function Classification System,
GFP,green fluorescent protein,
GFR,glomerular filtration rate,
GGA,Genioglossus Advancement,
GGO,ground-glass opacity,
GGT,gamma-glutamyltransferase,
GH,glenohumeral,
GH,growth hormone,
GH1,growth hormone 1,
GHBP,growth hormone binding protein,
GHD,growth hormone deficiency,
GHR,growth hormone receptor,
GHRHR,growth hormone releasing hormone receptor,
GI,gastroenterologist,
GI,gastrointestinal,
GIB,gastrointestinal bleeding,
GIP,glucose-dependent insulinotropic polypeptide,
GIPP,Gastrointestinal Pathogen Panel,
GIST,gastrointestinal stromal tumor,
GJ,Gastro-Jejunal,
gLDL,glycated low density lipoprotein,
GLI2,Zinc Finger Protein GLI2,
GLILD,granulomatous and lymphocytic interstitial lung disease,
GLP1,glucagon-like peptide 1,
GLP1R,glucagon-like peptide 1 receptor,
GLT,glucose loading test,
Gluc,glucose,
GLUT,glucose transport proteins,
GM,gray matter,
GM-CSF,granulocyte macrophage colony-stimulating factor,
GMFCS,Gross Motor Function Classification System,
GNAS,"guanine nucleotide binding protein, alpha stimulating",https://www.ncbi.nlm.nih.gov/gene/14683
GNB,Gram Negative Bacilli,
GNB,genicular nerve block,
GNR,gram negative rod,
GnRH,gonadotropin-releasing hormone,
GnRHa,gonadotropin-releasing hormone agonist,
GO-QOL,Graves' ophthalmopathy-specific quality-of-life,
GOF,gain-of-function,
GP,glycoprotein,
GP,gemcitabine plus paclitaxel,
GPA,granulomatosis with polyangiitis,
GPB,Gram Positive Bacilli,
GPB,glycophorin B,
GPBB,glycogen phosphorylase BB isoenzyme,
GPC,gram positive coccus,
GPCR,G-protein-coupled receptor,
GPE,global perceived effect,
GPE,glycine–proline–glutamate,
GPP,gastrointestinal pathogen panel,
GPR,gram positive rods,
GPS,gravitational platelet sequestration,
GPS,Genomic Prostate Score,
GRADE,"Grading of Recommendations, Assessment, Development, and Evaluations",
GRAN,granules,
GRB2,growth factor receptor-bound protein 2,
GRC,General Recovery Care guidelines,
GRE,gradient recalled echo,
GREF,Granules Effervescent,
GRS,Gender Reassignment Surgery,
GS,general surgery,
GS,gram stain,
GSD,glycogen storage disease,
GSM,genitourinary syndrome of menopause,
GSV,great saphenous vein,
GSW,gunshot wound,
GT,genotype,
GTB,greater trochanteric bursitis,
GTC seizure,generalized tonic-clonic seizure,
GTT,drop(s),
GTT,glucose tolerance test,
GTV,gross tumor volume,
GU,genitourinary,
GVHD,graft versus host disease,
GWAS,genome-wide association study,
Gy,gray,https://en.wikipedia.org/wiki/Gray_(unit)
Gyn,gynecology,
γc,common gamma chain,
