Abbreviation/Shorthand,Meaning,More Info
CDP,contractile deceleration point,
CDPAS,consumer directed personal assistance services,
CDPK,Capsule Delayed Release Therapy Pack,
CDR,common drug review,
CDR,complimentary-determining region,
CDT,carbohydrate‐deficient transferrin,
CDT,complete decongestive therapy,
CDU,clinical decision unit,
CDVA,corrected distance visual acuity,
CDx,companion diagnostic,
ce-CMR,contrast-enhanced cardiac magnetic resonance,
CEA,carcinoembryonic antigen,https://en.wikipedia.org/wiki/Carcinoembryonic_antigen
CEA,Carotid Endarterectomy,
CEAP,"clinical condition, etiology, anatomic location, pathophysiology",https://www.ncbi.nlm.nih.gov/books/NBK557410/
CEB,continuous epidural block,
CED,Cervical Endoscopic Discectomy,
CED,Coverage with Evidence Development,
CEPK,Capsule Extended Release Therapy Pack,
CESI,cervical epidural steroid injection,
CEUS,contrast-enhanced ultrasound,
CF,citrate-free,
CF,counting fingers,
CF,cystic fibrosis,
CF-IRMS,continuous flow-isotope ratio mass spectrometry,
CFA,Common Femoral Artery,
CFC,cardio-facio-cutaneous syndrome,
CFCS,Communication Function Classification System,
cfDNA,cell-free DNA,
CFRD,Cystic Fibrosis Related Diabetes,
CFTR,cystic fibrosis transmembrane conductance regulator,
CFU,colony forming unit,
CFV,contractile front velocity,
CG,compression garment,
CGA,contact guard assist,
CGH,comparative genomic hybridization,
CGI-I,Clinical Global Impression–Improvement,
CGM,continuous glucose monitoring,
cGMP,cyclic guanosine monophosphate,
CGMS,continuous glucose monitoring system,
CGP,comprehensive genomic profiling,
CGRP,calcitonin gene-related peptide,https://en.wikipedia.org/wiki/Calcitonin_gene-related_peptide
cGy,centigray,
CHA2DS2-VASc,"congestive heart failure, hypertension, age ≥ 75, diabetes mellitus, prior stroke or TIA or thromboembolism, vascular disease, age 65-74, sex category",
CHARGE,"Coloboma, Heart defect, Atresia choanae, Retarded growth and development, Genital hypoplasia, and Ear anomalies/deafness",
CHD,congenital heart disease,
CHEK2,checkpoint kinase 2,"https://www.ncbi.nlm.nih.gov/gene/11200#:~:text=Mutations%20in%20the%20CHEK2%20gene%2C%20including%20the%201100delC,affecting%20many%20of%20the%20body%27s%20organs%20and%20tissues."
CHER,Tablet Chewable Extended Release,
chEVAR,chimney endovascular aneurysm repair,
CHEW,Tablet Chewable,
CHF,congestive heart failure,
CHFO,continuous high-frequency oscillation,
CHG,chlorhexidine-gluconate,
CHI,closed head injury,
CHIKV,chikungunya virus,
China CDC,Chinese Center for Disease Control and Prevention,
CHL,Conductive Hearing Loss,
CHO,carbohydrate,
CHOP INTEND,Children’s Hospital of Philadelphia Infant Test of Neuromuscular Disorders,
CHRD,cysteine–histidine rich domain,
CI,Cochlear Implant,
CI,confidence interval,
CI,constraint-induced,
CIA,Common Iliac Artery,
CIC,chronic idiopathic constipation,
CIC,clean intermittent catheterization,
CIC,community integration counseling,
CID,compromised immune disorder,
CIDP,Chronic Inflammatory Demyelinating Polyneuropathy,
CIDT,culture-independent diagnostic test,
CIM,critical illness myopathy,
CIN,cervical intraepithelial neoplasia,
CIN,Contrast Induced Nephropathy,
CIS,carcinoma in situ,
cis-RA,13-cis-retinoic acid,
CISS,constructive interference in steady state,
ciTBI,clinically important traumatic brain injury,
CIU,chronic idiopathic urticaria,
CIWA,Clinical Institute Withdrawal Assessment,
CK,creatine kinase,
CK18,Cytokeratin 18 Fragments,
CKD,chronic kidney disease,
CKI,cyclin-dependent kinase inhibitor,
CKIδ,casein kinase 1 delta,
CKMB,creatine kinase isoenzyme MB,
Cl,chloride,
CLA,cutaneous lymphocyte antigen,
CLAD,chronic lung allograft dysfunction,
CLBP,chronic low back pain,
CLE,cutaneous lupus erythematosus,
CLI,critical limb ischemia,
CLIA,Clinical Laboratory Improvement Amendments,
CLL,chronic lymphocytic leukemia,
CLND,complete lymph node dissection ,
CLTI,chronic limb-threatening ischemia,
CM,cardiomegaly,
CM,cardiomyopathy,
CM,case manager,
CM,cell membrane,
CM,Chiari malformation,
CM,chronic migraine,
CM,contingency management,
CM-AVM,capillary malformation–ateriovenous malformation syndrome,
CM-AVM,chromosomal microarray analysis,
CMA,chromosomal microarray analysis,
CMAP,compound muscle action potential,
CMB,cerebral microbleed,
cmH2O,centimeters of water,
CML,chronic myeloid leukemia,
CMP,cardiomyopathy,
CMP,comprehensive metabolic panel,
CMPA,cow’s milk protein allergy,
CMR,cardiac magnetic resonance,
CMS,Centers for Medicare & Medicaid Services,
CMT,cervical motion tenderness,
CMT,Charcot-Marie-Tooth,
CMV,continuous mandatory ventilation,
CMV,cytomegalovirus,
CN,cranial nerve,
CN,cytogenetically normal,
CN12,hypoglossal nerve,
CNA,certified nurse assistant,
CNA,copy number alteration,
CNC,Maryland consonant-nucleus-consonant test,
CNS,central nervous system,
CNT,carbon nanotube,
CNV,choroidal neovascularization,
CNV,copy number variant,
CNVM,choroidal neovascular membrane,
CO,carbon monoxide,
CO,cardiac output,
CO2,carbon dioxide,
COACH,"Cerebellar vermis hypoplasia, Oligophrenia, Ataxia, Coloboma, and Hepatic fibrosis",
COC,certificate of coverage,
COG,Children's Oncology Group,https://www.childrensoncologygroup.org/
COL3A1,collagen type III alpha 1 chain,https://www.genenames.org/tools/search/#!/genes?query=COL3A1
COLD,chronic obstructive lung disease,
COM,Chronic Otitis Media,
COME,Chronic Otitis Media With Effusion,
COMT,catechol-O-methyltransferase,
CONC,Concentrate,
COOG,Collaborative Ocular Oncology Group,
COP,condylar process,
COPD,chronic obstructive pulmonary disease,
COS,controlled ovarian stimulation,
CoV,Coronavirus,
COVID-19,Coronavirus disease 2019,
COWS,clinical opiate withdrawal scale,
COX-2,cyclooxygenase 2 inhibitors,
CP,cerebral palsy,
CP,chest pain,
CP,cleft palate,
CP12,Capsule Extended Release 12 Hour,
CP24,Capsule Extended Release 24 Hour,
CPA,cerebellopontine angle,
CPAP,continuous positive airway pressure,
CPCR,Capsule Extended Release,
CPCW,Capsule Chewable,
CPDR,Capsule Delayed Release,
CPE,cytopathic effect,
CPEA,Capsule Extended Release Abuse-Deterrent,
CPEP,Capsule Delayed Release Particles,
CPEP,continuous positive expiratory pressure,
CPG,Clinical Practice Guideline,
CPHP,combined pituitary hormone deficiency,
CPHSS,Cincinnati Prehospital Stroke Scale,
CPK,creatine phosphokinase,
CPK-MB,creatine phosphokinase muscle bandisoenzyme,
CPM,continuous passive motion,
CPNB,continuous peripheral nerve block,
CPP,central precocious puberty,
CPP,cerebral perfusion pressure,
CPP,chronic pelvic pain,
CPPK,Capsule Therapy Pack,
CPR,cardiopulmonary resuscitation,
CPS,child protective services,
CPSP,Capsule Sprinkle,
CPT,chest physiotherapy,
CPT,Child‐Pugh‐Turcotte,
CPT,Current Procedural Terminology,
CPT-1,Carnitine Palmitoyltransferase 1,
CPT1A,carnitine palmitoyl transferase 1A,
CPT2,carnitine palmitoyltransferase II deficiency,
CR,clinical response,
CR,complete response,
CR,controlled release,
Cr,Creatinine,
CRBBB,complete right bundle branch block,
CRC,colorectal cancer,
CrCl,Creatinine Clearance,
CREA,Cream,
CREB,cAMP response element-binding protein,
CREBBP,CREB binding protein,
CRF,chronic renal failure,
CRH,corticotropin-releasing hormone,
CRISA,catheterization risk in adult patients,
CRISPR,clustered regularly interspaced short palindromic repeats,https://en.wikipedia.org/wiki/CRISPR
CRM,cardiac rhythm management,
CRMO,chronic recurrent multifocal osteomyelitis,https://rarediseases.info.nih.gov/diseases/6108/chronic-recurrent-multifocal-osteomyelitis
CRNA,Certified Registered Nurse Anesthetist,
CROS,contralateral routing of signals,
CRP,C-reactive protein,
CRPS,complex regional pain syndrome,
CRRT,continuous renal replacement therapy,
CRS,chronic rhinosinusitis,
CRSsNP,chronic rhinosinusitis without nasal polyps,
CRST,Clinical Rating Scale for Tremor,
CRSwNP,chronic rhinosinusitis with nasal polyps,
CRT,cardiac resynchronization therapy,
CRT,conformal radiation therapy,
CRT-D,cardiac resynchronization therapy with a defibrillator,
CRYS,Crystals,
CS,Costello syndrome,
CS-IMRT,carotid-sparing intensity-modulated radiotherapy,
CS12,Capsule ER 12 Hour Sprinkle,
CS24,Capsule ER 24 Hour Sprinkle,
CSBM,complete spontaneous bowel movement,
cSCC,cutaneous squamous cell carcinoma,
CSD,controlled systemic disease,
CSD,cortical spreading depression,
CSDR,Capsule Delayed Release Sprinkle,
CSER,Capsule Extended Release Sprinkle,
CSF,cerebrospinal fluid,
CSF2RA,colony stimulating factor 2 receptor subunit alpha,
CSF2RB,colony stimulating factor 2 receptor subunit beta,
CSI,carniospinal irradiation,
CSI,corticosteroid injection,
CSII,continuous subcutaneous insulin infusion,
CSM,cervical spondylotic myelopathy,
CSM,corrugated supercilii muscle,
cSNP,coding single-nucleotide polymorphism,
CSS,cancer-specific survival,
CSU,chronic spontaneous urticaria,
CT,computed tomography,
CTA,clear to auscultation,
CTA,Computed Tomographic Angiography,
CTA,cuff tear arthropathy,
CTAB,clear to auscultation bilaterally,
CTAP,computerized tomography of the abdomen and pelvis,
CTC,circulating tumor cell,
CTD,connective tissue disease,
ctDNA,circulating tumour DNA,
CTE,computed tomography enterography,
CTG,cardiotocography,
CTGF,connective tissue growth factor,
CTH,computed tomography of head,
CTI,cavotricuspid isthmus,
CTKT,Cartridge Kit,
CTN,classic trigeminal neuralgia,
CTO,chronic total occlusion,
CTO,coronary total occlusion,
CTPA,CT pulmonary angiography,
CTR,chest tube removal,
CTS,carpal tunnel syndrome,
CTS,community transitional services,
CTV,clinical target volume,
CTV,CT venogram,
CTV-HR,clinical target volume-high risk,
CTV-LR,clinical target volume-low risk,
CTX,carboxy-terminal telopeptide of type 1 collagen,
CTX,corticosteroids,
CTX,cyclophosphamide,
CU,chronic urticaria,
CUP,cancer of unknown primary,
CURB-65,"confusion, BUN, respiration rate, BP, Age 65+",
CV,cardiovascular,
CV,cephalic vein,
CVA,cerebrovascular accident,
CVA,costovertebral angle,
CVAC,Central Venous Access Catheter,
CVAT,costovertebral angle tenderness,
CVC,central venous catheter,
CVD,cardiovascular disease,
CVI,calcium volume index,
CVICU,Cardiovascular Intensive Care Unit,
CVID,common variable immunodeficiency,
CVP,central venous pressure,
CVS,cardiovascular system,
CVS,chorionic villus sampling,
CVST,cerebral venous sinus thrombosis,
CVT,cerebral venous thrombosis,
Cx,culture,
CXL,collagen crosslinking,
CXR,chest x-ray,
CYP,cytochrome P450,
CYS,Child & Youth Services,
CZP,certolizumab pegol,
