Abbreviation/Shorthand,Meaning,More Info
PrEP,pre-exposure prophylaxis,
PRES,posterior reversible encephalopathy syndrome,
PRF,pulsed radiofrequency,
PRGF,Platelet-Released Growth Factor,
PRI,Patient Review Instrument,
PRISMA,Preferred Reporting Items for Systematic Reviews and Meta-Analyses,
PRK,photorefractive keratectomy,
prn,pro re nata (as needed),
PRO,patient reported outcome,
proBNP,prohormone brain natriuretic peptide,
PROM,patient-reported outcome measure,
PROM,passive range of motion,
PROM,premature rupture of membranes,
PROP1,homeobox protein prophet of pituitary-specific positive transcription factor 1,
PRP,platelet-rich plasma,
PRR,pattern recognition receptor,
PRRT2,Proline Rich Transmembrane Protein 2,
PRSY,Prefilled Syringe,
PRV,planning at-risk volume,
PRV,pseudorabies virus,
PS,propensity score,
PS,pressure support,
PS,Parkinsonian syndromes,
PSA,prostate specific antigen,
PsA,psoriatic arthritis,
PSA,polysubstance abuse,
PSAD,prostate specific antigen density,https://pubmed.ncbi.nlm.nih.gov/1371554/
PSARP,posterior sagittal anorectoplasty,
PSC,Papanicolaou Society of Cytopathology,http://www.papsociety.org/
PSC,primary sclerosing cholangitis,
PSF,posterior spinal fusion,
PSG,polysomnogram,
PSH,past surgical history,
PSI,pneumonia severity index,
PSIR,phase-sensitive inversion recovery,
PSKT,Prefilled Syringe Kit,
PSM,positive surgical margins,
PSMA,prostate-specific membrane antigen,
PsO,psoriasis,
PSP,progressive supranuclear palsy,
PSPT,passive scattering proton therapy,
PSQI,Pittsburgh Sleep Quality Index,
pSS,primary Sjogren’s syndrome,
PSTE,Paste,
PSV,peak systolic velocity,
PSV,pressure support ventilation,
PSW,penoscrotal webbing,
Pt,patient,
PT,physical therapy,
PT,prothrombin time,
PT24,Patch 24 HR,
PT72,Patch 72 HR,
PTA,pure-tone average,
PTA,Percutaneous Transluminal Angioplasty,
PTA,peritonsillar abscess,
PTA,prior to admission,
PTC,premature termination codon,
PTCA,Percutaneous Transluminal Coronary Angioplasty,
PTCH,Patch,
PTCL,peripheral T-cell lymphoma,
PTD,prior to delivery,
PTD,preterm delivery,
PTE,pulmonary thromboembolism,
PTEN,phosphatase and tensin homolog,
PTFC,prostaglandin/timolol fixed combination,
PTFE,polytetrafluoroethylene,
PTH,parathyroid hormone,
PTHrP,parathyroid hormone-related protein,
PTK,phototherapeutic keratectomy,
PTLD,post-transplant lymphoproliferative disease,
PTNS,Percutaneous or Posterior Tibial Nerve Stimulation ,
PTP,protein tyrosine phosphatase,
PTS,patellar and supracondylar,
PTS,post-thrombotic syndrome,
PTS,Parsonage-Turner syndrome,
PTSD,post traumatic stress disorder,
PTT,partial thromboplastin time,
PTTW,Patch Twice Weekly,
PTU,propylthiouracil,
PTV,planning target volume,
PTWK,Patch Weekly,
PTX,pneumothorax,
PUD,peptic ulcer disease,
PUDG,Pudding,
PUL,prostatic urethral lift,
pUL56,PRV protein UL56,
PUP,previously untreated patient,
PUVA,psoralen and ultraviolet A,
PV,polycythemia vera,
PV,pulmonary vein,
PV,pressure-volume,
PV,prostate volume,
PVC,premature ventricular contraction,
PVD,peripheral vascular disease,
PVI,pulmonary vein isolation,
PVL,paravalvular leak,
PVL,Periventricular Leukomalacia,
PVP,Photoselective Vaporization of the Prostate,
PVP-I,povidone-iodine,
PVR,postvoid residual urine volume,
PVR,pulse volume recording,
PVS,pulmonary vein stenosis,
PVT,portal vein thrombosis,
PW,posterior wall,
PWC,Power Wheelchair,
PWI,perfusion-weighted imaging,
PWS,Prader-Willi syndrome,
PYD,pyridinoline,
